cell,x,y,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CRcfe445caf-902,1950.5044964028777,781.7239208633093,3,1112,0.03112,2.001,35730.0,0.9682,0.9235,0.6205035971223022,50
CRcfe445caf-903,2067.505681818182,1106.3806818181818,1,176,0.05816,1.927,3026.0,0.9847,0.9334,0.7159090909090909,50
CRcfe445caf-904,3095.5641025641025,195.30769230769232,1,39,0.09924,2.189,393.0,0.9934,0.9779,0.9743589743589743,50
CRcfe445caf-905,4246.85294117647,743.1176470588235,1,34,0.1753,1.538,194.0,0.996,0.9253,1.0,50
CRcfe445caf-906,3139.1486486486488,1953.9256756756756,1,148,0.07153,2.716,2069.0,0.9842,0.9751,0.8108108108108109,50
CRcfe445caf-907,4400.533333333334,2139.8,1,15,0.2479,4.023,60.5,0.9967,0.9253,1.0,50
CRcfe445caf-908,2648.9666666666667,705.3,1,30,0.1027,1.516,292.0,0.995,0.94,1.0,50
CRcfe445caf-909,4613.222222222223,593.6666666666666,1,18,0.1047,3.077,172.0,0.994,0.8478,0.9444444444444444,50
CRcfe445caf-910,4008.9423076923076,1436.9423076923076,1,52,0.1431,4.632,363.5,0.9967,0.8162,1.0,50
CRcfe445caf-911,3700.777777777778,1408.4444444444443,1,27,0.08838,3.143,305.5,0.9932,0.9585,0.8888888888888888,50
CRcfe445caf-912,3209.6894409937886,2159.944099378882,1,161,0.04038,2.643,3987.0,0.9761,0.9672,0.782608695652174,50
CRcfe445caf-913,4474.0,1732.5714285714287,1,7,2.333,46.53,3.0,0.9964,0.9286,1.0,50
CRcfe445caf-914,2732.315789473684,1809.3684210526317,1,19,0.2262,5.764,84.0,0.9877,0.9253,0.9473684210526315,50
CRcfe445caf-915,1711.8648648648648,1812.5675675675675,1,37,0.1429,2.413,259.0,0.9913,0.9627,1.0,50
CRcfe445caf-916,2203.6470588235293,738.3529411764706,1,17,0.1504,1.535,113.0,0.9962,0.9459,1.0,50
CRcfe445caf-917,1106.6190476190477,1399.095238095238,1,21,0.1377,1.656,152.5,0.9896,0.9381,0.6666666666666666,50
CRcfe445caf-918,4041.0280898876404,1453.5674157303372,3,178,0.02647,3.216,6724.0,0.9642,0.8609,0.550561797752809,50
CRcfe445caf-919,3667.093023255814,1024.5581395348838,1,43,0.06555,2.748,656.0,0.9913,0.8814,0.9534883720930233,50
CRcfe445caf-920,3603.6363636363635,1407.8636363636363,1,22,0.1257,2.024,175.0,0.9942,0.8364,0.8181818181818182,50
CRcfe445caf-921,766.6666666666666,84.0,1,12,0.5,3.252,24.0,0.9964,0.885,1.0,50
CRcfe445caf-922,2777.1458333333335,2138.125,1,48,0.08341,6.886,575.5,0.9954,0.9338,0.875,50
CRcfe445caf-923,3439.3541666666665,429.9583333333333,4,48,0.06571,1.766,730.5,0.978,0.9225,0.3125,50
CRcfe445caf-924,5653.375722543353,2106.9479768786127,1,173,0.01908,5.951,9065.0,0.9584,0.7469,0.6473988439306358,50
CRcfe445caf-925,17.0,430.5,2,6,0.375,4.613,16.0,0.9941,0.9133,0.8333333333333334,50
CRcfe445caf-926,5612.789473684211,1282.0,1,19,0.1315,2.25,144.5,0.9965,0.9347,1.0,50
CRcfe445caf-927,3245.5714285714284,1849.142857142857,1,7,1.273,8.136,5.5,0.9967,0.9229,1.0,50
CRcfe445caf-928,5846.555555555556,1416.4444444444443,1,9,0.2857,1.129,31.5,0.9969,0.8022,1.0,50
CRcfe445caf-929,3160.2345679012346,652.1234567901234,1,81,0.08385,2.488,966.0,0.9927,0.8141,0.6790123456790124,50
CRcfe445caf-930,277.45454545454544,256.8181818181818,2,11,0.05598,1.531,196.5,0.9424,0.8236,1.0,50
CRcfe445caf-931,5332.75,2249.25,1,8,0.6957,3.273,11.5,0.9964,0.7775,0.875,50
CRcfe445caf-932,454.06666666666666,2022.3111111111111,1,45,0.06008,6.263,749.0,0.9815,0.8987,0.9333333333333333,50
CRcfe445caf-933,1289.3461538461538,888.4230769230769,1,26,0.1429,2.542,182.0,0.9966,0.8323,1.0,50
CRcfe445caf-934,4633.05,373.6,1,20,0.0995,2.406,201.0,0.9903,0.881,0.75,50
CRcfe445caf-935,5591.132075471698,791.5471698113207,1,53,0.0426,4.895,1244.0,0.9876,0.8136,1.0,50
CRcfe445caf-936,1307.5,1817.7142857142858,1,14,0.2667,2.549,52.5,0.996,0.8157,1.0,50
CRcfe445caf-937,5568.2,1721.1,1,10,0.9524,7.557,10.5,0.9961,0.934,1.0,50
CRcfe445caf-938,3348.2272727272725,1406.4545454545455,1,22,0.08413,2.105,261.5,0.9894,0.9,1.0,50
CRcfe445caf-939,463.0,2189.1666666666665,1,6,Inf,Inf,0.0,0.9964,0.87,0.6666666666666666,50
CRcfe445caf-940,1554.9,401.2,1,10,0.5,5.887,20.0,0.9966,0.842,1.0,50
CRcfe445caf-941,1740.6315789473683,2324.3684210526317,1,19,0.2774,79.96,68.5,0.9964,0.9747,0.8947368421052632,50
CRcfe445caf-942,5068.892857142857,633.1607142857143,1,56,0.041,2.851,1366.0,0.9718,0.8432,0.5,50
CRcfe445caf-943,1662.7222222222222,1843.8333333333333,1,18,0.2927,6.477,61.5,0.9959,0.9689,0.8888888888888888,50
CRcfe445caf-944,3776.6190476190477,726.5714285714286,1,42,0.1282,2.118,327.5,0.9946,0.8024,1.0,50
CRcfe445caf-945,2108.6,1807.0333333333333,1,60,0.09167,4.323,654.5,0.9951,0.9383,0.8666666666666667,50
CRcfe445caf-946,498.57142857142856,96.28571428571429,1,7,0.3684,1.863,19.0,0.9966,0.8771,1.0,50
CRcfe445caf-947,3911.25,567.8333333333334,1,12,0.2727,3.207,44.0,0.9964,0.935,1.0,50
CRcfe445caf-948,2148.777777777778,2317.1111111111113,2,9,0.05248,3.907,171.5,0.9295,0.78,1.0,50
CRcfe445caf-949,683.5625,1818.25,1,16,0.1306,2.469,122.5,0.9963,0.825,1.0,50
CRcfe445caf-950,3731.266666666667,827.5666666666667,1,30,0.1917,1.665,156.5,0.9964,0.5567,1.0,50
CRcfe445caf-951,1534.111111111111,1910.3333333333333,1,9,0.3,2.221,30.0,0.9958,0.8933,1.0,50
CRcfe445caf-952,3715.0,865.6470588235294,1,17,0.1498,2.864,113.5,0.9944,0.8271,1.0,50
CRcfe445caf-953,4132.285714285715,459.0,1,7,1.167,8.047,6.0,0.9967,0.9114,0.8571428571428571,50
CRcfe445caf-954,5097.75,829.25,3,12,0.096,15.8,125.0,0.9848,0.7817,1.0,50
CRcfe445caf-955,5592.675675675676,1498.4054054054054,1,37,0.1809,3.764,204.5,0.9967,0.8486,1.0,50
CRcfe445caf-956,5825.782608695652,765.4782608695652,1,23,0.05576,1.378,412.5,0.9904,0.7296,1.0,50
CRcfe445caf-957,767.9375,980.4375,1,16,0.08579,2.124,186.5,0.9955,0.77,1.0,50
CRcfe445caf-958,2892.4285714285716,325.57142857142856,1,7,1.75,2.094,4.0,0.996,0.9429,0.8571428571428571,50
CRcfe445caf-959,1570.3076923076924,1407.6923076923076,1,13,0.3377,34.13,38.5,0.9953,0.8831,1.0,50
CRcfe445caf-960,551.4705882352941,1707.4117647058824,1,17,0.1988,1.541,85.5,0.9962,0.8247,1.0,50
CRcfe445caf-961,4531.733333333334,1376.6,1,15,0.229,3.347,65.5,0.9967,0.924,1.0,50
CRcfe445caf-962,477.7692307692308,1461.076923076923,1,26,0.06943,1.714,374.5,0.9894,0.8131,0.9230769230769231,50
CRcfe445caf-963,1405.4666666666667,1608.4,1,15,0.375,21.77,40.0,0.996,0.8267,1.0,50
CRcfe445caf-964,2485.0,1709.9444444444443,1,18,0.1237,3.123,145.5,0.9944,0.8322,0.9444444444444444,50
CRcfe445caf-965,5583.545454545455,1591.0454545454545,1,22,0.1517,1.771,145.0,0.9952,0.8555,1.0,50
CRcfe445caf-966,2171.910447761194,1227.597014925373,1,67,0.05987,1.393,1119.0,0.9758,0.9448,0.9552238805970149,50
CRcfe445caf-967,3644.75,687.9375,1,16,0.1658,1.775,96.5,0.9968,0.85,1.0,50
CRcfe445caf-968,3827.7,871.7333333333333,1,30,0.0905,1.207,331.5,0.9939,0.872,1.0,50
CRcfe445caf-969,4005.2608695652175,2325.9565217391305,3,23,0.02439,3.017,943.0,0.8981,0.7374,0.9565217391304348,50
CRcfe445caf-970,1197.5,1160.1666666666667,1,12,0.4615,1.593,26.0,0.9958,0.9517,0.8333333333333334,50
CRcfe445caf-971,2039.8048780487804,826.0975609756098,1,41,0.2119,3.369,193.5,0.9964,0.8034,0.9024390243902439,50
CRcfe445caf-972,754.9230769230769,446.0,1,13,0.2921,2.699,44.5,0.9952,0.8662,1.0,50
CRcfe445caf-973,3482.0,1022.6153846153846,1,13,0.1238,2.552,105.0,0.9917,0.9354,1.0,50
CRcfe445caf-974,1511.2105263157894,738.1052631578947,2,19,0.05149,9.21,369.0,0.9681,0.86,0.6842105263157895,50
CRcfe445caf-975,2368.5,1889.7,1,10,0.1869,2.28,53.5,0.9968,0.764,1.0,50
CRcfe445caf-976,2695.6631578947367,346.70526315789476,3,95,0.01678,4.925,5662.0,0.9092,0.6478,0.6842105263157895,50
CRcfe445caf-977,3098.39453125,1558.94921875,1,256,0.0315,2.544,8126.0,0.9762,0.8821,0.72265625,50
CRcfe445caf-978,2430.181818181818,306.45454545454544,1,11,0.1982,1.958,55.5,0.996,0.8782,0.9090909090909091,50
CRcfe445caf-979,1450.142857142857,742.5714285714286,1,7,0.7,6.991,10.0,0.9963,0.9086,0.5714285714285714,50
CRcfe445caf-980,2826.4444444444443,396.77777777777777,1,9,0.3396,4.671,26.5,0.9919,0.8911,1.0,50
CRcfe445caf-981,3031.6,1004.88,1,25,0.06418,1.436,389.5,0.985,0.8968,1.0,50
CRcfe445caf-982,2893.08,2185.8,1,25,0.05513,3.408,453.5,0.9837,0.9232,0.92,50
CRcfe445caf-983,2607.306666666667,70.56,3,75,0.01467,3.519,5113.0,0.8735,0.6192,0.9733333333333334,50
CRcfe445caf-984,993.2857142857143,882.0714285714286,2,14,0.06378,20.12,219.5,0.9823,0.7357,0.6428571428571429,50
CRcfe445caf-985,206.86666666666667,212.73333333333332,2,15,0.08721,6.59,172.0,0.9798,0.8573,0.7333333333333333,50
CRcfe445caf-986,2779.355140186916,644.2429906542056,1,107,0.05685,6.561,1882.0,0.9912,0.8503,0.8878504672897196,50
CRcfe445caf-987,4312.0,1751.857142857143,1,7,1.556,33.17,4.5,0.9946,0.8714,0.7142857142857143,50
CRcfe445caf-988,1020.7391304347826,1927.5652173913043,1,23,0.1983,2.253,116.0,0.9966,0.8443,1.0,50
CRcfe445caf-989,3171.478260869565,952.8695652173913,1,23,0.1333,1.931,172.5,0.9937,0.8704,1.0,50
CRcfe445caf-990,5851.360655737705,1259.5901639344263,1,61,0.07206,9.481,846.5,0.9923,0.8967,0.9836065573770492,50
CRcfe445caf-991,5624.4390243902435,61.65853658536585,1,41,0.0234,2.255,1752.0,0.9285,0.7737,0.926829268292683,50
CRcfe445caf-992,1916.2857142857142,1275.7142857142858,1,7,1.4,2.562,5.0,0.9963,0.9114,1.0,50
CRcfe445caf-993,988.2745098039215,1055.4313725490197,2,51,0.04894,5.293,1042.0,0.9862,0.7769,0.6862745098039216,50
CRcfe445caf-994,5161.428571428572,1281.4285714285713,1,7,0.4667,4.449,15.0,0.9949,0.8429,0.7142857142857143,50
CRcfe445caf-995,2805.823529411765,2165.735294117647,1,34,0.2125,1.607,160.0,0.9965,0.9876,1.0,50
CRcfe445caf-996,540.6666666666666,264.44444444444446,1,9,0.3273,1.253,27.5,0.9966,0.8044,1.0,50
CRcfe445caf-997,2082.446808510638,1812.4468085106382,4,47,0.04281,5.71,1098.0,0.9819,0.8898,0.851063829787234,50
CRcfe445caf-998,5227.75,1257.6875,1,16,0.227,2.639,70.5,0.9888,0.8812,1.0,50
CRcfe445caf-999,5279.214285714285,1920.357142857143,1,14,0.1393,2.112,100.5,0.9945,0.79,1.0,50
CRcfe445caf-1000,1181.2857142857142,2313.8571428571427,1,14,0.16,2.115,87.5,0.9962,0.7886,1.0,50
CRcfe445caf-1001,407.4642857142857,586.3214285714286,2,28,0.02864,9.913,977.5,0.9327,0.8257,0.8571428571428571,50
CRcfe445caf-1002,5405.074074074074,965.8888888888889,1,54,0.0687,2.267,786.0,0.9847,0.877,0.7222222222222222,50
CRcfe445caf-1003,1844.1052631578948,618.1578947368421,1,19,0.05758,1.372,330.0,0.9799,0.8432,1.0,50
CRcfe445caf-1004,1206.5,2290.8,1,10,1.818,2.017,5.5,0.9951,0.776,1.0,50
CRcfe445caf-1005,4314.7692307692305,270.6923076923077,1,13,0.3562,1.502,36.5,0.9959,0.8,1.0,50
CRcfe445caf-1006,1564.2285714285715,1595.7142857142858,2,35,0.02612,5.472,1340.0,0.9677,0.804,0.8857142857142857,50
CRcfe445caf-1007,5548.125,2026.625,1,8,0.8,5.472,10.0,0.9968,0.91,0.75,50
CRcfe445caf-1008,3183.9444444444443,762.1666666666666,3,18,0.04478,2.888,402.0,0.9467,0.8444,0.7222222222222222,50
CRcfe445caf-1009,2537.0333333333333,2169.133333333333,1,30,0.1205,2.629,249.0,0.9962,0.81,0.9666666666666667,50
CRcfe445caf-1010,34.6,1295.5333333333333,1,15,0.625,1.365,24.0,0.9953,0.9467,0.9333333333333333,50
CRcfe445caf-1011,4140.041666666667,416.9791666666667,1,48,0.1761,2.58,272.5,0.9957,0.8604,0.7708333333333334,50
CRcfe445caf-1012,1898.7391304347825,1631.695652173913,1,23,0.1278,1.788,180.0,0.9922,0.7435,0.9130434782608695,50
CRcfe445caf-1013,4467.444444444444,1246.0555555555557,1,18,0.2093,1.413,86.0,0.9968,0.7833,1.0,50
CRcfe445caf-1014,4777.205882352941,1365.6176470588234,2,34,0.04024,2.382,845.0,0.9931,0.8106,0.9117647058823529,50
CRcfe445caf-1015,5953.6,827.6,1,5,0.5,12.1,10.0,0.9938,0.932,1.0,50
CRcfe445caf-1016,3066.785714285714,622.7857142857143,1,14,0.1233,1.49,113.5,0.9964,0.8686,1.0,50
CRcfe445caf-1017,4076.5,954.1,1,10,0.09434,3.526,106.0,0.9931,0.75,1.0,50
CRcfe445caf-1018,460.26666666666665,1966.4,1,15,0.163,2.279,92.0,0.9954,0.9547,0.8,50
CRcfe445caf-1019,1628.909090909091,523.8181818181819,1,22,0.1103,2.482,199.5,0.9905,0.9691,0.8181818181818182,50
CRcfe445caf-1020,2919.5833333333335,433.75,1,12,0.5106,12.3,23.5,0.9933,0.945,1.0,50
CRcfe445caf-1021,2733.4117647058824,346.6470588235294,1,17,0.2345,5.767,72.5,0.9967,0.8965,1.0,50
CRcfe445caf-1022,5121.225806451613,1979.1935483870968,1,31,0.1092,1.556,284.0,0.9962,0.8361,1.0,50
CRcfe445caf-1023,2594.3571428571427,844.3571428571429,1,14,0.1129,2.932,124.0,0.9959,0.8514,1.0,50
CRcfe445caf-1024,1540.5,1895.875,2,8,0.1231,2.49,65.0,0.9777,0.83,0.75,50
CRcfe445caf-1025,4563.162790697675,983.3720930232558,1,43,0.06605,2.557,651.0,0.9953,0.9065,1.0,50
CRcfe445caf-1026,3696.4,761.7,1,10,0.117,5.499,85.5,0.9894,0.814,1.0,50
CRcfe445caf-1027,3603.3571428571427,1930.7857142857142,1,14,0.03465,1.973,404.0,0.9373,0.8386,1.0,50
CRcfe445caf-1028,750.4666666666667,1057.0,1,15,0.2239,5.507,67.0,0.9964,0.7267,1.0,50
CRcfe445caf-1029,3442.3076923076924,87.07692307692308,1,13,0.1615,49.33,80.5,0.9955,0.7354,0.5384615384615384,50
CRcfe445caf-1030,3701.4,1612.4,1,10,0.2105,16.12,47.5,0.9887,0.858,0.9,50
CRcfe445caf-1031,2312.2,603.5,1,10,0.2985,2.249,33.5,0.9968,0.774,1.0,50
CRcfe445caf-1032,4587.846153846154,848.6923076923077,1,13,0.07738,1.621,168.0,0.9825,0.7,0.9230769230769231,50
CRcfe445caf-1033,5952.0,700.4444444444445,1,9,0.06642,4.546,135.5,0.9913,0.7956,1.0,50
CRcfe445caf-1034,508.3333333333333,1362.2916666666667,1,24,0.1132,6.554,212.0,0.9966,0.6358,1.0,50
CRcfe445caf-1035,2276.0,308.3333333333333,1,6,1.2,15.6,5.0,0.9966,0.8667,1.0,50
CRcfe445caf-1036,1341.4097222222222,1113.5208333333333,1,144,0.06563,5.743,2194.0,0.985,0.9279,0.8263888888888888,50
CRcfe445caf-1037,5741.84375,1765.40625,2,32,0.09524,2.753,336.0,0.996,0.8313,0.84375,50
CRcfe445caf-1038,3151.625,154.375,1,8,1.333,19.68,6.0,0.9961,0.8925,0.625,50
CRcfe445caf-1039,3238.3684210526317,962.1052631578947,1,19,0.04786,4.243,397.0,0.9852,0.7095,1.0,50
CRcfe445caf-1040,2488.5333333333333,928.6666666666666,1,15,0.1402,1.825,107.0,0.9961,0.88,1.0,50
CRcfe445caf-1041,1248.7356321839081,1052.896551724138,1,87,0.06232,1.416,1396.0,0.9861,0.8611,0.632183908045977,50
CRcfe445caf-1042,668.5454545454545,1299.590909090909,1,22,0.1053,2.871,209.0,0.996,0.7536,1.0,50
CRcfe445caf-1043,2358.0,656.4117647058823,1,17,0.1046,2.873,162.5,0.9938,0.7071,1.0,50
CRcfe445caf-1044,2687.0,353.46153846153845,1,13,0.2476,2.083,52.5,0.9955,0.8462,0.8461538461538461,50
CRcfe445caf-1045,1409.625,750.5,1,8,0.4324,4.334,18.5,0.9958,0.87,0.5,50
CRcfe445caf-1046,1110.7692307692307,646.4615384615385,1,13,0.5652,4.649,23.0,0.9959,0.7846,1.0,50
CRcfe445caf-1047,5585.28,899.92,1,25,0.09141,1.639,273.5,0.9961,0.8712,1.0,50
CRcfe445caf-1048,5116.285714285715,1450.642857142857,1,14,0.07887,6.267,177.5,0.9954,0.7314,1.0,50
CRcfe445caf-1049,3335.125,356.625,1,8,1.0,5.664,8.0,0.9962,0.925,0.875,50
CRcfe445caf-1050,79.91666666666667,1472.5833333333333,1,12,0.06186,1.237,194.0,0.9475,0.9,1.0,50
CRcfe445caf-1051,511.0,2235.222222222222,1,9,0.3051,2.99,29.5,0.9965,0.8533,1.0,50
CRcfe445caf-1052,6002.7,1738.5,1,20,0.08282,2.878,241.5,0.9816,0.827,1.0,50
CRcfe445caf-1053,5089.0,1853.8333333333333,2,6,0.3529,3.176,17.0,0.9789,0.81,1.0,50
CRcfe445caf-1054,619.1428571428571,1114.7142857142858,1,14,0.06829,2.002,205.0,0.9948,0.8329,1.0,50
CRcfe445caf-1055,2043.1666666666667,2192.0,1,12,0.2202,2.164,54.5,0.9965,0.78,1.0,50
CRcfe445caf-1056,2448.6315789473683,1555.6315789473683,1,19,1.056,7.925,18.0,0.9918,0.9347,1.0,50
CRcfe445caf-1057,5699.833333333333,1760.4583333333333,1,24,0.0932,3.551,257.5,0.9959,0.595,1.0,50
CRcfe445caf-1058,3699.6666666666665,1255.5238095238096,1,21,0.07356,1.781,285.5,0.9707,0.86,1.0,50
CRcfe445caf-1059,172.64705882352942,673.4117647058823,2,17,0.03744,12.42,454.0,0.8983,0.8459,1.0,50
CRcfe445caf-1060,2521.9523809523807,367.95238095238096,1,21,0.2658,1.354,79.0,0.9947,0.881,0.8571428571428571,50
CRcfe445caf-1061,5263.357142857143,1261.5714285714287,1,14,0.05895,6.727,237.5,0.9865,0.8829,0.7857142857142857,50
CRcfe445caf-1062,1065.842105263158,1412.9473684210527,1,19,0.1704,1.542,111.5,0.996,0.7389,0.8421052631578947,50
CRcfe445caf-1063,4186.4,1017.8,1,10,0.2222,15.13,45.0,0.9938,0.814,1.0,50
CRcfe445caf-1064,1739.1875,1237.125,1,32,0.09682,5.915,330.5,0.9967,0.6325,1.0,50
CRcfe445caf-1065,2001.4,792.2,1,5,0.2778,1.196,18.0,0.9964,0.856,1.0,50
CRcfe445caf-1066,1811.5510204081634,1961.857142857143,2,49,0.03525,14.63,1390.0,0.9581,0.7498,0.46938775510204084,50
CRcfe445caf-1067,199.625,115.375,1,8,0.2909,2.832,27.5,0.9939,0.76,0.375,50
CRcfe445caf-1068,3209.5,623.4433962264151,1,106,0.0625,1.902,1696.0,0.994,0.776,0.6698113207547169,50
CRcfe445caf-1069,2639.6923076923076,809.0769230769231,1,26,0.07182,2.079,362.0,0.9951,0.9008,1.0,50
CRcfe445caf-1070,2521.52,1009.64,1,25,0.1229,3.041,203.5,0.9967,0.8464,1.0,50
CRcfe445caf-1071,1742.3170731707316,705.0243902439024,2,41,0.02741,6.119,1496.0,0.9828,0.4893,0.4634146341463415,50
CRcfe445caf-1072,4137.882352941177,1215.4705882352941,1,17,0.1049,4.05,162.0,0.9921,0.8082,1.0,50
CRcfe445caf-1073,1887.4666666666667,2003.4333333333334,1,30,0.08902,5.017,337.0,0.9958,0.8133,0.9,50
CRcfe445caf-1074,3217.5416666666665,467.125,1,24,0.09249,2.783,259.5,0.991,0.895,0.7083333333333334,50
CRcfe445caf-1075,3743.4285714285716,2213.5714285714284,1,7,0.2121,18.98,33.0,0.9807,0.8314,1.0,50
CRcfe445caf-1076,1518.6153846153845,1053.8461538461538,1,13,0.1699,2.479,76.5,0.9966,0.6723,1.0,50
CRcfe445caf-1077,1652.1666666666667,1557.361111111111,1,36,0.08451,21.6,426.0,0.9942,0.5211,0.9444444444444444,50
CRcfe445caf-1078,2455.5714285714284,13.857142857142858,3,7,0.1556,1.865,45.0,0.9747,0.72,1.0,50
CRcfe445caf-1079,684.4285714285714,1304.0,1,21,0.104,1.827,202.0,0.9955,0.9276,1.0,50
CRcfe445caf-1080,1396.6,537.0,4,5,0.303,3.229,16.5,0.9893,0.852,1.0,50
CRcfe445caf-1081,4385.916666666667,473.0,1,12,0.2051,5.743,58.5,0.9958,0.8517,0.8333333333333334,50
CRcfe445caf-1082,3434.4444444444443,1404.4444444444443,1,9,0.1286,2.123,70.0,0.9951,0.8333,1.0,50
CRcfe445caf-1083,3886.675675675676,1822.2972972972973,1,37,0.1169,2.174,316.5,0.9936,0.9724,0.8918918918918919,50
CRcfe445caf-1084,2857.2380952380954,693.4285714285714,3,21,0.03538,11.58,593.5,0.9805,0.7,1.0,50
CRcfe445caf-1085,3320.4594594594596,930.1351351351351,1,37,0.06156,2.457,601.0,0.9893,0.8065,0.6216216216216216,50
CRcfe445caf-1086,5406.727272727273,2270.409090909091,1,22,0.1888,6.257,116.5,0.9965,0.6945,0.9545454545454546,50
CRcfe445caf-1087,2829.2820512820513,2090.4871794871797,1,39,0.1036,2.512,376.5,0.9863,0.8123,0.5128205128205128,50
CRcfe445caf-1088,2799.0,514.9166666666666,1,12,0.1071,1.764,112.0,0.9943,0.76,1.0,50
CRcfe445caf-1089,3688.5,489.0,1,6,0.1446,6.894,41.5,0.9944,0.85,1.0,50
CRcfe445caf-1090,5962.0,37.125,1,8,0.2051,3.891,39.0,0.9958,0.7725,1.0,50
CRcfe445caf-1091,3917.4545454545455,174.72727272727272,1,11,0.4151,2.035,26.5,0.9966,0.8873,1.0,50
CRcfe445caf-1092,3247.1666666666665,439.75,3,12,0.07164,5.629,167.5,0.9789,0.8283,0.9166666666666666,50
CRcfe445caf-1093,394.5,586.0833333333334,1,12,0.2791,3.688,43.0,0.9967,0.75,0.9166666666666666,48
CRcfe445caf-1094,3712.076923076923,1978.5384615384614,1,26,0.08374,1.906,310.5,0.9965,0.3423,1.0,48
CRcfe445caf-1095,2399.2,999.5333333333333,1,15,0.1463,2.044,102.5,0.9969,0.732,1.0,48
CRcfe445caf-1096,2702.3333333333335,48.916666666666664,3,12,0.03566,9.125,336.5,0.9781,0.7367,0.75,48
CRcfe445caf-1097,2771.5,853.21875,1,32,0.1513,6.72,211.5,0.9962,0.6831,1.0,48
CRcfe445caf-1098,193.27272727272728,1581.0,3,11,0.2472,2.797,44.5,0.9959,0.8055,0.7272727272727273,45
CRcfe445caf-1099,5609.333333333333,1266.8333333333333,1,12,0.1644,4.912,73.0,0.9963,0.6317,1.0,45
CRcfe445caf-1100,5582.275862068966,1478.448275862069,1,29,0.125,4.439,232.0,0.9968,0.7324,1.0,45
CRcfe445caf-1101,4167.909090909091,964.939393939394,1,33,0.04882,14.14,676.0,0.987,0.5248,1.0,45
CRcfe445caf-1102,4063.597014925373,1225.4925373134329,1,67,0.05271,10.01,1271.0,0.9912,0.6752,0.9104477611940298,45
CRcfe445caf-1103,3225.846153846154,1009.2307692307693,1,26,0.03499,5.81,743.0,0.9934,0.6808,1.0,45
CRcfe445caf-1104,4089.0,1508.0,1,3,1.0,6.171,3.0,0.9967,0.7667,1.0,42
CRcfe445caf-1105,1572.8095238095239,723.9047619047619,2,21,0.03981,4.032,527.5,0.9617,0.6771,0.9523809523809523,42
CRcfe445caf-1106,2802.764705882353,767.8235294117648,1,17,0.1643,1.202,103.5,0.9921,0.6424,1.0,42
CRcfe445caf-1107,4276.0,463.3333333333333,1,12,0.07767,2.836,154.5,0.9865,0.6267,1.0,42
CRcfe445caf-1108,5477.7,874.4,1,20,0.03195,3.716,626.0,0.9739,0.595,0.95,42
CRcfe445caf-1109,2351.2,2160.733333333333,1,15,0.1124,3.257,133.5,0.996,0.66,1.0,42
CRcfe445caf-1110,1220.4,951.8,1,10,0.2381,10.18,42.0,0.994,0.632,1.0,39
CRcfe445caf-1111,956.7142857142857,1411.142857142857,1,7,0.4667,4.514,15.0,0.996,0.62,1.0,39
CRcfe445caf-1112,1910.5714285714287,861.2857142857143,1,7,0.5833,6.752,12.0,0.997,0.62,1.0,39
CRcfe445caf-1113,5165.2,956.15,1,20,0.05618,8.661,356.0,0.9896,0.537,0.95,39
CRcfe445caf-1114,3549.6,1392.0,1,5,0.3571,2.09,14.0,0.9961,0.624,1.0,38
CRcfe445caf-1115,3899.6,1615.4,1,5,1.667,8.128,3.0,0.996,0.6,1.0,38
CRcfe445caf-1116,1963.95,2326.55,2,20,0.05789,1.495,345.5,0.9685,0.606,0.6,36
CRcfe445caf-1117,5436.916666666667,1293.5,1,12,0.1021,1.68,117.5,0.9918,0.5767,0.9166666666666666,36
CRcfe445caf-1118,5232.172413793103,1523.7068965517242,1,58,0.1454,3.769,399.0,0.9966,0.6138,0.9827586206896551,36
CRcfe445caf-1119,2787.75,1629.5,1,12,0.1326,10.33,90.5,0.9944,0.5183,1.0,36
CRcfe445caf-1120,4440.142857142857,482.42857142857144,1,21,0.06763,2.882,310.5,0.9959,0.5095,1.0,36
CRcfe445caf-1121,1746.6666666666667,486.0,1,9,0.6429,108.7,14.0,0.9966,0.5556,1.0,33
CRcfe445caf-1122,4333.2,473.2,1,5,5.0,5.931,1.0,0.9952,0.524,1.0,33
CRcfe445caf-1123,5603.25,1734.25,1,4,4.0,6.0,1.0,0.9964,0.57,1.0,33
CRcfe445caf-1124,5731.923076923077,1905.3076923076924,1,13,0.1204,3.381,108.0,0.9965,0.5108,1.0,33
CRcfe445caf-1125,1263.608695652174,1696.2608695652175,1,23,0.25,7.782,92.0,0.9957,0.4687,1.0,33
CRcfe445caf-1126,3114.5,2282.0,1,10,0.1942,4.247,51.5,0.9924,0.39,0.6,30
CRcfe445caf-1127,2894.3333333333335,847.3333333333334,1,3,Inf,2.402e16,0.0,0.9941,0.42,1.0,30
CRcfe445caf-1128,3319.8064516129034,904.0322580645161,1,31,0.1107,5.159,280.0,0.9951,0.4697,1.0,30
CRcfe445caf-1129,2150.909090909091,534.3636363636364,1,11,0.2895,3.321,38.0,0.9958,0.3836,1.0,27
CRcfe445caf-1130,2338.45,1120.9,1,20,0.08909,6.651,224.5,0.9927,0.417,1.0,27
CRcfe445caf-1131,1198.25,2349.5,1,4,2.667,3.324,1.5,0.9954,0.425,1.0,27
