cell,x,y,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CRcfe445caf-771,5508.208333333333,1234.5416666666667,3,24,0.1103,1.658,217.5,0.9882,0.9292,0.5,50
CRcfe445caf-772,5134.214285714285,1606.6857142857143,1,210,0.05401,1.713,3888.0,0.9875,0.8663,0.9523809523809523,50
CRcfe445caf-773,5703.096774193548,1039.1505376344087,1,93,0.04165,4.48,2233.0,0.9876,0.8989,0.9139784946236559,50
CRcfe445caf-774,5356.198889916744,1497.8288621646623,1,1081,0.03734,1.162,28950.0,0.9873,0.9193,0.4939870490286771,50
CRcfe445caf-775,4827.339980059821,2100.3409770687936,2,3009,0.09287,1.288,32400.0,0.9959,0.9333,0.7713526088401462,50
CRcfe445caf-776,5077.470588235294,1718.8823529411766,1,17,0.136,3.377,125.0,0.9922,0.8282,1.0,50
CRcfe445caf-777,5797.776119402985,996.1716417910447,1,134,0.043,4.816,3116.0,0.9862,0.8818,0.7910447761194029,50
CRcfe445caf-778,5566.642857142857,1260.607142857143,1,28,0.1267,2.25,221.0,0.995,0.9464,1.0,50
CRcfe445caf-779,4699.308993766696,2130.0293855743544,2,1123,0.0651,1.952,17250.0,0.9934,0.8996,0.7043633125556545,50
CRcfe445caf-780,5999.7972972972975,865.3837837837838,3,370,0.05566,1.527,6648.0,0.9825,0.8989,0.9297297297297298,50
CRcfe445caf-781,5221.025862068966,1601.2258620689656,2,1160,0.02813,1.601,41240.0,0.9742,0.8907,0.6456896551724138,50
CRcfe445caf-782,5668.212891511575,1187.2841579664093,3,2203,0.05662,1.178,38910.0,0.9889,0.9301,0.9854743531547889,50
CRcfe445caf-783,5768.981132075472,1068.433962264151,3,689,0.05929,1.545,11620.0,0.9935,0.9022,0.9622641509433962,50
CRcfe445caf-784,5013.081614349776,1950.2717488789237,2,1115,0.07075,1.251,15760.0,0.993,0.9348,0.5659192825112107,50
CRcfe445caf-785,4886.226923076923,1948.8602564102564,2,1560,0.07314,1.066,21330.0,0.9948,0.9138,0.6987179487179487,50
CRcfe445caf-786,5180.923636363636,1765.1309090909092,1,550,0.02676,2.913,20550.0,0.9615,0.9134,0.6327272727272727,50
CRcfe445caf-787,5535.375,1355.7916666666667,1,24,0.1064,3.307,225.5,0.9921,0.9425,0.875,50
CRcfe445caf-788,5848.681818181818,1070.9545454545455,1,22,0.0873,2.338,252.0,0.9908,0.7773,1.0,50
CRcfe445caf-789,5925.572318007663,1012.0852490421456,3,2088,0.06134,2.031,34040.0,0.9929,0.9531,0.9837164750957854,50
CRcfe445caf-790,4729.785046728972,2263.051401869159,2,856,0.03208,2.041,26680.0,0.9553,0.9068,0.7827102803738317,50
CRcfe445caf-791,5486.266540642722,1475.914933837429,2,529,0.03391,1.457,15600.0,0.9783,0.9131,0.500945179584121,50
CRcfe445caf-792,5794.3442622950815,1144.1693989071039,1,183,0.04516,4.777,4052.0,0.9812,0.9508,0.9617486338797814,50
CRcfe445caf-793,5752.451612903225,1233.032258064516,1,31,0.08794,1.667,352.5,0.9942,0.9103,0.9354838709677419,50
CRcfe445caf-794,5562.52,1418.32,2,25,0.105,1.557,238.0,0.9908,0.9256,0.6,50
CRcfe445caf-795,5913.259259259259,1088.8148148148148,1,27,0.0719,2.747,375.5,0.9939,0.8659,1.0,50
CRcfe445caf-796,5447.90238764045,1649.7886235955057,2,1424,0.0349,1.915,40800.0,0.9729,0.918,0.514747191011236,50
CRcfe445caf-797,5761.534950071326,1305.5135520684737,3,701,0.03377,1.566,20760.0,0.9582,0.8888,0.9700427960057061,50
CRcfe445caf-798,5315.656987295826,1696.5317604355716,1,551,0.03362,2.08,16390.0,0.9753,0.8745,0.5789473684210527,50
CRcfe445caf-799,5859.4772393538915,1168.226872246696,3,1362,0.06388,1.694,21320.0,0.9955,0.8975,0.9750367107195301,50
CRcfe445caf-800,5659.2027027027025,1378.0135135135135,1,74,0.04914,6.078,1506.0,0.985,0.8873,0.7027027027027027,50
CRcfe445caf-801,5170.164907651715,1953.8153034300792,2,758,0.03345,1.599,22660.0,0.9735,0.9073,0.9261213720316622,50
CRcfe445caf-802,5635.34,1477.6963636363637,3,550,0.03401,1.293,16170.0,0.968,0.8827,0.86,50
CRcfe445caf-803,5118.6,2026.4666666666667,1,15,0.184,4.401,81.5,0.9962,0.8387,1.0,50
CRcfe445caf-804,5977.019375672767,1148.8406889128096,3,929,0.0588,1.84,15800.0,0.9884,0.8923,0.9946178686759957,50
CRcfe445caf-805,5917.124524714829,1291.398288973384,3,1052,0.04009,1.768,26240.0,0.9761,0.9093,0.9239543726235742,50
CRcfe445caf-806,5549.829787234043,1638.5531914893618,1,47,0.1424,11.01,330.0,0.9943,0.8762,0.9787234042553191,50
CRcfe445caf-807,5368.205882352941,1829.8970588235295,1,68,0.04558,5.901,1492.0,0.9768,0.9038,0.8382352941176471,50
CRcfe445caf-808,5145.387301587301,2070.9523809523807,2,315,0.03611,1.186,8723.0,0.9712,0.8642,0.9396825396825397,50
CRcfe445caf-809,5317.944543828265,1947.1431127012522,2,1118,0.0461,1.629,24250.0,0.9879,0.9203,0.8622540250447227,50
CRcfe445caf-810,5202.415384615385,2044.2307692307693,1,65,0.08678,3.043,749.0,0.9952,0.9154,0.9692307692307692,50
CRcfe445caf-811,5178.463414634146,2100.5365853658536,1,41,0.07961,9.115,515.0,0.9939,0.9537,1.0,50
CRcfe445caf-812,5654.381558028617,1614.54213036566,3,629,0.02685,1.338,23430.0,0.9564,0.8645,0.9793322734499205,50
CRcfe445caf-813,5408.075,1881.675,1,40,0.1093,2.192,366.0,0.9946,0.8475,0.95,50
CRcfe445caf-814,5284.511976047904,2117.7195608782436,2,1002,0.03648,1.58,27470.0,0.9788,0.8934,0.9810379241516967,50
CRcfe445caf-815,5986.298701298701,1366.012987012987,1,154,0.06487,9.974,2374.0,0.991,0.9457,0.935064935064935,50
CRcfe445caf-816,5786.973412913728,1508.1785132935431,3,1843,0.05694,1.068,32370.0,0.9911,0.9226,0.9115572436245253,50
CRcfe445caf-817,5934.962174940898,1475.4479905437352,3,846,0.04758,2.018,17780.0,0.9761,0.9118,0.9349881796690307,50
CRcfe445caf-818,5162.8131672597865,2186.8718861209964,2,562,0.03279,1.308,17140.0,0.9502,0.8901,0.9733096085409253,50
CRcfe445caf-819,5658.422535211268,1784.774647887324,1,71,0.0491,5.26,1446.0,0.9828,0.898,0.5211267605633803,50
CRcfe445caf-820,5585.734693877551,1825.2448979591836,1,49,0.1029,1.138,476.0,0.9921,0.9641,0.7551020408163265,50
CRcfe445caf-821,5750.783333333334,1686.1083333333333,1,120,0.1038,12.03,1156.0,0.9967,0.8197,1.0,50
CRcfe445caf-822,5870.195121951219,1603.0243902439024,1,41,0.2045,2.361,200.5,0.9967,0.8088,1.0,50
CRcfe445caf-823,5482.116071428572,1921.9970238095239,2,336,0.02937,1.858,11440.0,0.9536,0.8786,0.9404761904761905,50
CRcfe445caf-824,5776.908814589666,1678.8031914893618,3,1316,0.03512,1.394,37470.0,0.9695,0.8882,0.8875379939209727,50
CRcfe445caf-825,6027.181818181818,1458.7727272727273,1,22,0.2047,5.168,107.5,0.9962,0.8609,1.0,50
CRcfe445caf-826,5439.6533166458075,2049.677096370463,2,1598,0.04851,1.329,32940.0,0.9873,0.9324,0.8485607008760951,50
CRcfe445caf-827,5294.461152882205,2269.8822055137844,2,399,0.01974,1.876,20210.0,0.9018,0.8768,0.9974937343358395,50
CRcfe445caf-828,5448.146036161335,2212.1724617524337,2,719,0.02609,1.137,27560.0,0.9245,0.9011,0.9819193324061196,50
CRcfe445caf-829,5946.136238279096,1617.492002206288,3,1813,0.05123,1.241,35390.0,0.9838,0.9437,0.8483177054605626,50
CRcfe445caf-830,5334.133333333333,2313.6666666666665,1,15,0.411,2.136,36.5,0.9965,0.8773,1.0,50
CRcfe445caf-831,5694.148344370861,1978.9205298013244,3,1510,0.03671,1.123,41130.0,0.9809,0.9089,0.7079470198675497,50
CRcfe445caf-832,5919.621359223301,1798.4466019417475,3,103,0.08788,2.716,1172.0,0.9838,0.972,0.5922330097087378,50
CRcfe445caf-833,5859.455882352941,1862.8088235294117,1,68,0.06576,10.7,1034.0,0.9821,0.9156,0.8970588235294118,50
CRcfe445caf-834,5990.94,1820.88,1,50,0.1017,3.314,491.5,0.994,0.976,0.94,50
CRcfe445caf-835,5829.4375,1950.3099489795918,3,784,0.04447,1.46,17630.0,0.988,0.8853,0.8762755102040817,50
CRcfe445caf-836,5554.45,2262.2,1,20,0.1111,3.791,180.0,0.9905,0.909,0.65,50
CRcfe445caf-837,5960.087924970691,1943.5814771395076,3,853,0.0445,1.646,19170.0,0.9751,0.8936,0.835873388042204,50
CRcfe445caf-838,5807.732035928144,2072.6107784431138,1,668,0.03235,1.979,20650.0,0.9812,0.8519,0.7380239520958084,50
CRcfe445caf-839,5743.871794871795,2197.82905982906,1,117,0.0568,1.261,2060.0,0.96,0.9578,0.7521367521367521,50
CRcfe445caf-840,5622.5,2327.0,1,10,0.3175,2.39,31.5,0.9958,0.922,0.9,50
CRcfe445caf-841,5833.388888888889,2201.8333333333335,1,18,0.0766,14.49,235.0,0.981,0.8722,0.7777777777777778,50
CRcfe445caf-842,4047.324324324324,1444.054054054054,1,37,0.1912,2.451,193.5,0.9965,0.9643,1.0,50
CRcfe445caf-843,3717.5106382978724,1229.1063829787233,1,47,0.09109,2.019,516.0,0.9939,0.9187,0.8085106382978723,50
CRcfe445caf-844,3106.0,301.0,1,9,0.375,7.117,24.0,0.9915,0.8889,0.7777777777777778,50
CRcfe445caf-845,4731.352603526036,1636.0619106191061,4,2439,0.06817,1.154,35780.0,0.9936,0.934,0.9610496104961049,50
CRcfe445caf-846,452.7,367.2,1,10,0.4,3.392,25.0,0.9959,0.944,1.0,50
CRcfe445caf-847,4383.167464114833,1718.1818181818182,1,209,0.04389,3.887,4762.0,0.9791,0.9682,0.6746411483253588,50
CRcfe445caf-848,5597.1990950226245,1913.9592760180994,1,221,0.04079,1.881,5418.0,0.9797,0.9007,0.8778280542986425,50
CRcfe445caf-849,2694.531914893617,1443.8989361702127,1,188,0.07879,2.913,2386.0,0.9924,0.9634,0.7127659574468085,50
CRcfe445caf-850,2363.294117647059,1552.0392156862745,1,51,0.08395,2.427,607.5,0.9904,0.9408,0.6666666666666666,50
CRcfe445caf-851,3622.6603081438006,738.2905355832722,3,1363,0.0579,1.237,23540.0,0.9931,0.9129,0.9530447542186353,50
CRcfe445caf-852,2872.124031007752,1581.3953488372092,1,129,0.05864,3.097,2200.0,0.9813,0.9499,0.8217054263565892,50
CRcfe445caf-853,4990.858701298701,2096.7735064935064,2,1925,0.06497,1.178,29630.0,0.9928,0.9324,0.785974025974026,50
CRcfe445caf-854,336.6666666666667,1231.1666666666667,1,12,0.25,4.436,48.0,0.9924,0.9267,0.9166666666666666,50
CRcfe445caf-855,2314.0,983.2,1,25,0.1139,4.818,219.5,0.9946,0.9072,0.88,50
CRcfe445caf-856,4935.812375249501,2241.4221556886228,2,1002,0.0294,1.868,34080.0,0.9531,0.8933,0.7445109780439122,50
CRcfe445caf-857,4566.65,383.3,1,20,0.1487,4.424,134.5,0.9957,0.859,1.0,50
CRcfe445caf-858,2683.759726603575,1022.5473186119874,4,1902,0.06839,1.28,27810.0,0.993,0.9484,0.8144058885383807,50
CRcfe445caf-859,1082.7090196078432,2055.3011764705884,3,1275,0.0446,3.92,28590.0,0.9936,0.9083,0.687843137254902,50
CRcfe445caf-860,2755.7368421052633,1944.1052631578948,1,19,0.1845,1.701,103.0,0.9969,0.8642,0.7368421052631579,50
CRcfe445caf-861,1788.6908325537886,255.82366697848457,3,2138,0.08769,1.293,24380.0,0.9965,0.9148,0.9925163704396632,50
CRcfe445caf-862,13.571428571428571,1939.142857142857,1,7,0.5833,13.58,12.0,0.9954,0.9286,1.0,50
CRcfe445caf-863,3060.1,252.0,1,20,0.2174,56.02,92.0,0.9964,0.979,0.7,50
CRcfe445caf-864,3563.1708860759495,1675.113924050633,2,316,0.02214,2.779,14270.0,0.9351,0.8249,0.6265822784810127,50
CRcfe445caf-865,506.72727272727275,1443.969696969697,1,33,0.08847,2.636,373.0,0.9887,0.9461,1.0,50
CRcfe445caf-866,3568.088333333333,1273.0916666666667,2,1800,0.03768,1.281,47770.0,0.9795,0.9349,0.9661111111111111,50
CRcfe445caf-867,4123.363636363636,116.68181818181819,1,22,0.2095,1.357,105.0,0.9962,0.9582,1.0,50
CRcfe445caf-868,5630.519465427077,563.7083091226032,3,1721,0.07496,1.08,22960.0,0.9924,0.9558,0.7879140034863451,50
CRcfe445caf-869,3399.6666666666665,93.58333333333333,1,12,0.2553,1.114,47.0,0.9926,0.92,0.8333333333333334,50
CRcfe445caf-870,3219.3283582089553,128.59701492537314,1,67,0.1023,2.474,655.0,0.9848,0.9737,0.8805970149253731,50
CRcfe445caf-871,58.07692307692308,669.0384615384615,1,26,0.1512,3.435,172.0,0.9957,0.97,0.6538461538461539,50
CRcfe445caf-872,1298.15,177.55,1,20,0.1961,1.971,102.0,0.9967,0.893,1.0,50
CRcfe445caf-873,1220.9166666666667,1719.6083333333333,1,120,0.07884,9.202,1522.0,0.9951,0.9783,0.9833333333333333,50
CRcfe445caf-874,3849.4493580599146,1335.1940085592012,2,701,0.02487,3.135,28190.0,0.9636,0.9165,0.8373751783166904,50
CRcfe445caf-875,2891.1944444444443,786.3492063492064,3,252,0.01661,2.695,15170.0,0.9462,0.8187,0.6984126984126984,50
CRcfe445caf-876,3615.910447761194,2147.2014925373132,1,268,0.02204,1.656,12160.0,0.9347,0.8605,0.8022388059701493,50
CRcfe445caf-877,4187.825,900.55,1,40,0.05041,1.229,793.5,0.9858,0.936,0.8,50
CRcfe445caf-878,1372.3805970149253,826.4029850746268,1,268,0.03149,2.662,8511.0,0.9807,0.9423,0.5895522388059702,50
CRcfe445caf-879,4218.2829670329675,2145.6895604395604,1,364,0.04561,1.638,7980.0,0.9918,0.9227,0.9175824175824175,50
CRcfe445caf-880,3282.5655339805826,2287.9417475728155,2,412,0.06177,2.125,6670.0,0.9861,0.9582,0.8495145631067961,50
CRcfe445caf-881,2503.5243902439024,1437.6707317073171,1,82,0.0656,6.259,1250.0,0.9889,0.9439,0.6463414634146342,50
CRcfe445caf-882,962.3174603174604,1771.8412698412699,1,63,0.1005,2.728,627.0,0.9872,0.9606,1.0,50
CRcfe445caf-883,1849.7142857142858,1985.142857142857,1,21,0.1892,1.431,111.0,0.9957,0.9562,0.8095238095238095,50
CRcfe445caf-884,2582.67397260274,2205.0780821917806,4,730,0.02992,1.234,24400.0,0.9494,0.8676,0.9493150684931507,50
CRcfe445caf-885,4187.25,1116.875,1,8,0.1356,2.074,59.0,0.9956,0.89,1.0,50
CRcfe445caf-886,2402.752285191956,1041.315356489945,4,1094,0.04935,1.635,22170.0,0.9901,0.9083,0.8263254113345521,50
CRcfe445caf-887,5926.856156501726,2062.294591484465,3,869,0.03483,1.822,24950.0,0.9792,0.8983,0.7341772151898734,50
CRcfe445caf-888,2113.318181818182,1312.2727272727273,3,22,0.06499,2.692,338.5,0.98,0.8682,0.9090909090909091,50
CRcfe445caf-889,1310.057142857143,2064.5714285714284,1,35,0.1129,1.99,310.0,0.9967,0.8651,1.0,50
CRcfe445caf-890,1706.1538461538462,2055.661211129296,2,611,0.02032,3.248,30070.0,0.9471,0.8995,0.45990180032733224,50
CRcfe445caf-891,3670.153846153846,1846.0,3,26,0.09943,2.529,261.5,0.991,0.9238,0.5384615384615384,50
CRcfe445caf-892,239.1304347826087,567.7391304347826,2,46,0.06516,1.224,706.0,0.9753,0.9452,0.5652173913043478,50
CRcfe445caf-893,1745.404761904762,1656.2142857142858,1,42,0.1209,1.488,347.5,0.995,0.971,0.6428571428571429,50
CRcfe445caf-894,1317.0489082969432,1951.6436681222708,4,1145,0.04967,1.638,23050.0,0.9869,0.9084,0.6069868995633187,50
CRcfe445caf-895,5332.128959276018,1093.7797888386124,1,1326,0.03113,1.29,42590.0,0.9747,0.8891,0.4555052790346908,50
CRcfe445caf-896,3358.0833333333335,438.4166666666667,3,12,0.2051,1.69,58.5,0.994,0.9333,0.5833333333333334,50
CRcfe445caf-897,3237.625,403.875,1,8,0.7273,2.927,11.0,0.9967,0.93,0.75,50
CRcfe445caf-898,310.8222222222222,1115.7333333333333,1,45,0.1243,3.703,362.0,0.9944,0.9689,0.5777777777777777,50
CRcfe445caf-899,2696.839285714286,1836.9107142857142,1,56,0.07497,3.032,747.0,0.9909,0.9554,0.8392857142857143,50
CRcfe445caf-900,89.57777777777778,1941.7111111111112,1,90,0.03304,10.06,2724.0,0.9856,0.73,0.8333333333333334,50
CRcfe445caf-901,221.0681818181818,1988.9772727272727,3,44,0.05483,17.96,802.5,0.9813,0.8882,0.6590909090909091,50
