Cellid,x,y,gene,W,H,cX,cY,Aera
20,5895,3,COL1A2,4,9,5896.176470588235,6.705882352941177,17
250,5957,33,COL1A2,6,7,5959.648648648648,35.91891891891892,37
284,5534,36,COL1A2,8,8,5537.578947368421,39.31578947368421,38
297,5545,39,COL1A2,8,8,5548.292682926829,42.0,41
323,1468,42,COL1A2,6,10,1470.1052631578948,46.421052631578945,38
476,5201,57,COL1A2,11,10,5206.236842105263,61.223684210526315,76
523,221,60,COL1A2,5,5,223.13333333333333,61.8,15
537,3068,60,COL1A2,5,6,3069.9,62.7,10
592,1694,64,COL1A2,7,11,1696.6511627906978,69.46511627906976,43
849,765,83,COL1A2,5,6,766.7857142857143,85.14285714285714,14
914,5715,85,COL1A2,5,5,5716.909090909091,87.0909090909091,22
1068,497,96,COL1A2,7,6,499.8333333333333,98.16666666666667,24
1144,2219,101,COL1A2,6,10,2221.891891891892,106.08108108108108,37
1327,4742,113,COL1A2,5,6,4744.333333333333,115.6,15
1328,4975,113,COL1A2,5,11,4976.714285714285,118.64285714285714,28
1363,4120,114,COL1A2,10,7,4124.0,116.89655172413794,29
1414,4769,119,COL1A2,9,10,4771.886363636364,123.72727272727273,44
1495,5179,122,COL1A2,4,9,5180.5,125.8125,16
1525,3216,124,COL1A2,17,14,3224.365217391304,130.7391304347826,115
1705,1029,134,COL1A2,10,8,1033.5,137.23333333333332,30
1801,2641,139,COL1A2,5,6,2643.4375,141.375,16
1965,1937,146,COL1A2,8,15,1940.6266666666668,153.10666666666665,75
2117,5376,155,COL1A2,4,5,5377.357142857143,156.85714285714286,14
2179,3183,158,COL1A2,6,6,3186.0526315789475,160.1578947368421,19
2352,307,169,COL1A2,6,5,309.75,170.75,12
2612,5917,183,COL1A2,9,10,5921.536585365854,187.0487804878049,41
2685,3086,189,COL1A2,18,17,3094.950276243094,196.5635359116022,181
2751,2878,193,COL1A2,9,10,2883.03125,197.40625,32
2753,2890,193,COL1A2,4,6,2890.8,195.7,10
2771,128,195,COL1A2,7,7,130.16666666666666,197.08333333333334,24
2772,329,195,COL1A2,4,6,330.3076923076923,197.23076923076923,13
2966,4981,211,COL1A2,6,5,4983.818181818182,212.9090909090909,11
2974,5639,211,COL1A2,7,7,5642.588235294118,213.8235294117647,34
3100,1508,223,COL1A2,7,11,1510.86,227.98,50
3249,5100,232,COL1A2,10,10,5104.529411764706,236.22058823529412,68
3304,5914,235,COL1A2,10,12,5917.809523809524,239.38095238095238,42
3459,5938,244,COL1A2,9,25,5941.75,254.71052631578948,76
3504,2108,249,COL1A2,8,10,2111.730769230769,253.53846153846155,52
3545,1746,252,COL1A2,6,8,1748.962962962963,255.22222222222223,27
3581,5359,254,COL1A2,11,11,5363.875,258.35,80
3627,816,259,COL1A2,4,6,817.7857142857143,260.92857142857144,14
3673,537,263,COL1A2,10,9,541.2307692307693,266.97435897435895,39
3778,5939,269,COL1A2,7,4,5941.583333333333,270.75,12
3876,5939,276,COL1A2,5,7,5941.214285714285,279.07142857142856,14
4066,26,292,COL1A2,7,8,28.757575757575758,295.90909090909093,33
4130,3103,297,COL1A2,11,9,3106.975,300.75,40
4172,190,301,COL1A2,6,5,192.25,302.875,16
4244,2274,306,COL1A2,7,9,2277.4054054054054,310.2162162162162,37
4288,1119,311,COL1A2,8,10,1122.9666666666667,315.5,30
4368,3881,317,COL1A2,3,8,3881.7272727272725,320.3636363636364,11
4373,4898,317,COL1A2,7,14,4901.261904761905,324.1904761904762,42
4435,5587,321,COL1A2,7,8,5589.966666666666,323.8333333333333,30
4453,4332,322,COL1A2,4,7,4333.666666666667,325.06666666666666,15
4634,1931,335,COL1A2,8,10,1934.68,339.52,50
4641,3050,334,COL1A2,10,10,3054.722222222222,338.9166666666667,36
4678,4512,337,COL1A2,5,7,4514.076923076923,339.9230769230769,13
4753,4505,340,COL1A2,5,5,4506.9,342.3,10
4894,5813,346,COL1A2,7,8,5816.6,349.45,20
5022,5821,352,COL1A2,8,6,5824.789473684211,354.1578947368421,19
5263,4127,365,COL1A2,11,10,4131.80701754386,369.29824561403507,57
5302,451,366,COL1A2,6,6,453.65,368.25,20
5356,4312,368,COL1A2,8,11,4316.205882352941,373.2647058823529,34
5357,4566,368,COL1A2,12,13,4572.528089887641,374.30337078651684,89
5410,1333,371,COL1A2,5,9,1334.904761904762,375.2857142857143,21
5475,5217,373,COL1A2,23,29,5229.609970674487,387.9120234604106,341
5529,5106,374,COL1A2,5,5,5107.272727272727,376.27272727272725,11
5669,5618,379,COL1A2,5,6,5619.583333333333,381.4166666666667,12
5693,5937,379,COL1A2,5,7,5938.9047619047615,381.6666666666667,21
5784,5051,382,COL1A2,5,6,5053.0,384.64285714285717,14
5930,5190,387,COL1A2,14,12,5196.460869565218,392.7391304347826,115
5939,5608,386,COL1A2,6,5,5611.181818181818,388.54545454545456,11
5941,5628,387,COL1A2,10,11,5631.341463414634,391.780487804878,41
6089,5676,391,COL1A2,14,12,5682.273972602739,397.1506849315069,73
6257,4749,397,COL1A2,6,9,4751.76,401.12,25
6285,5718,396,COL1A2,9,9,5722.051724137931,399.86206896551727,58
6308,1556,399,COL1A2,8,8,1559.5897435897436,402.02564102564105,39
6311,2978,398,COL1A2,6,9,2980.3478260869565,402.4347826086956,23
6380,2136,400,COL1A2,8,8,2140.0285714285715,403.51428571428573,35
6389,3528,400,COL1A2,5,5,3529.9,402.4,10
6469,5070,403,COL1A2,4,6,5071.636363636364,405.27272727272725,11
6497,5599,402,COL1A2,8,11,5601.945945945946,406.5945945945946,37
6531,3118,405,COL1A2,8,13,3121.2727272727275,411.1454545454545,55
6619,4957,406,COL1A2,4,7,4958.538461538462,408.84615384615387,13
6638,5421,407,COL1A2,3,6,5421.818181818182,409.3636363636364,11
6829,3579,412,COL1A2,6,5,3581.909090909091,414.0,11
7013,3996,419,COL1A2,4,7,3997.4545454545455,421.72727272727275,11
7065,293,420,COL1A2,6,7,295.1578947368421,422.8421052631579,19
7249,4,427,COL1A2,12,10,9.981132075471699,431.22641509433964,53
7331,4962,428,COL1A2,6,8,4964.0,431.41379310344826,29
7341,5401,428,COL1A2,10,11,5405.213114754099,432.9344262295082,61
7416,2308,433,COL1A2,5,6,2310.0526315789475,435.5263157894737,19
7478,3574,435,COL1A2,5,5,3576.1,436.6,10
7482,4739,434,COL1A2,4,5,4740.545454545455,436.27272727272725,11
7484,5068,435,COL1A2,19,18,5078.26213592233,443.44174757281553,206
7520,5921,435,COL1A2,7,4,5924.416666666667,436.3333333333333,12
7564,3512,439,COL1A2,7,4,3515.0,440.5,10
7601,5929,439,COL1A2,6,5,5931.090909090909,440.45454545454544,11
7669,5306,442,COL1A2,27,21,5319.696750902527,452.84115523465704,277
7686,5720,443,COL1A2,5,4,5721.5,444.4,10
7702,753,444,COL1A2,6,8,755.6896551724138,447.13793103448273,29
7709,3158,445,COL1A2,5,6,3160.3636363636365,447.27272727272725,11
7756,3528,447,COL1A2,15,9,3535.72,451.12,50
7765,4553,446,COL1A2,12,10,4558.3835616438355,450.2191780821918,73
7838,3547,451,COL1A2,5,6,3549.0,453.5833333333333,12
7906,4006,454,COL1A2,5,8,4008.684210526316,457.42105263157896,19
7934,3013,456,COL1A2,6,5,3015.6111111111113,458.22222222222223,18
7941,4269,456,COL1A2,19,16,4278.299465240641,463.19251336898395,187
7997,5103,461,COL1A2,16,13,5111.79381443299,468.1340206185567,97
8058,3687,465,COL1A2,7,7,3690.423076923077,467.46153846153845,26
8067,5582,464,COL1A2,18,18,5590.424581005586,473.122905027933,179
8085,3567,466,COL1A2,22,19,3578.4467213114754,475.2745901639344,244
8147,4931,475,COL1A2,5,4,4933.083333333333,476.4166666666667,12
8168,4619,478,COL1A2,33,22,4632.346049046321,487.9264305177112,367
8193,1747,483,COL1A2,5,5,1749.1764705882354,485.3529411764706,17
8196,3298,482,COL1A2,8,12,3301.423728813559,487.8813559322034,59
8210,2861,485,COL1A2,4,5,2862.090909090909,486.72727272727275,11
8226,5612,489,COL1A2,4,5,5613.6,490.8666666666667,15
8228,1956,491,COL1A2,7,10,1958.7708333333333,495.9375,48
8236,1745,493,COL1A2,4,4,1746.75,494.75,12
8242,3684,492,COL1A2,6,3,3686.3,493.4,10
8298,3398,503,COL1A2,10,12,3403.176470588235,508.6862745098039,51
8322,5162,503,COL1A2,8,12,5165.804347826087,509.0,46
8324,5271,503,COL1A2,14,14,5276.9857142857145,508.0857142857143,70
8354,4484,505,COL1A2,12,11,4490.72,509.96,50
8524,5833,511,COL1A2,8,8,5835.735294117647,515.1470588235294,34
8560,4651,512,COL1A2,10,10,4656.295454545455,516.1590909090909,44
8629,5561,515,COL1A2,6,6,5564.15,517.65,20
8751,3368,521,COL1A2,9,6,3371.4333333333334,523.6,30
8796,3077,523,COL1A2,5,5,3079.1666666666665,525.1666666666666,12
8887,645,526,COL1A2,7,13,647.9714285714285,532.7714285714286,35
8964,3649,529,COL1A2,8,11,3652.8297872340427,533.3191489361702,47
9074,2150,533,COL1A2,9,9,2154.408163265306,537.5510204081633,49
9164,4163,534,COL1A2,4,5,4164.384615384615,536.0,13
9335,5182,540,COL1A2,6,10,5184.37037037037,544.8888888888889,27
9370,3817,542,COL1A2,3,8,3818.2,545.7,10
9473,5881,545,COL1A2,11,11,5884.891304347826,551.0652173913044,46
9699,4119,553,COL1A2,6,5,4121.4,554.6,10
9702,4331,553,COL1A2,41,35,4352.260617760618,568.7393822393823,518
9711,4922,553,COL1A2,7,9,4924.8378378378375,556.9459459459459,37
9795,5479,555,COL1A2,22,23,5488.434146341463,565.770731707317,205
9801,5783,554,COL1A2,19,20,5792.669603524229,562.9955947136564,227
9802,5806,555,COL1A2,28,29,5819.006012024048,569.7074148296593,499
9838,4520,556,COL1A2,22,19,4530.687804878049,565.1560975609756,205
9880,3530,559,COL1A2,6,5,3532.5,560.7142857142857,14
9933,1506,561,COL1A2,6,7,1508.1304347826087,564.2173913043479,23
9990,5695,560,COL1A2,3,8,5695.9,563.6,10
10096,5048,564,COL1A2,18,18,5056.223602484472,572.416149068323,161
10174,424,569,COL1A2,7,5,426.8333333333333,571.3333333333334,12
10184,2727,569,COL1A2,7,9,2730.1071428571427,573.1428571428571,28
10246,5869,568,COL1A2,11,7,5873.833333333333,571.2777777777778,36
10308,5176,571,COL1A2,39,36,5194.811821471652,588.934861278649,829
10489,2934,577,COL1A2,10,9,2939.266666666667,580.2666666666667,45
10612,5378,578,COL1A2,6,5,5380.4,580.15,20
10637,2225,581,COL1A2,10,13,2230.5,586.5208333333334,48
10750,4605,583,COL1A2,34,36,4621.958885941644,601.184350132626,754
10769,5715,583,COL1A2,24,26,5724.78515625,596.5,256
10807,4048,584,COL1A2,11,8,4054.170731707317,586.9268292682926,41
10812,4118,584,COL1A2,27,27,4130.782991202346,597.3636363636364,341
10823,4503,584,COL1A2,10,11,4507.5,588.2708333333334,48
10911,4777,586,COL1A2,13,10,4783.078125,590.453125,64
10923,5356,586,COL1A2,33,24,5374.106442577031,597.890756302521,357
10959,2865,589,COL1A2,19,23,2873.8172588832485,601.6294416243654,197
11036,2305,590,COL1A2,13,14,2310.8765432098767,597.0987654320987,81
11043,2942,590,COL1A2,32,31,2957.1605263157894,604.9315789473684,380
11055,3625,590,COL1A2,6,5,3626.785714285714,591.7857142857143,14
11093,5805,591,COL1A2,17,12,5813.622448979592,595.5918367346939,98
