cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 313,3041.573529411765,911.1764705882352,0,0,0,0,88,18,208,139,0,0,0
Cell 314,3887.6273291925468,913.0248447204968,223,361,0,0,0,171,0,0,351,17,63
Cell 315,4177.0,912.7758620689655,0,0,0,0,0,0,0,0,0,0,0
Cell 316,5331.633333333333,915.4666666666667,18,0,0,0,0,0,0,0,0,314,0
Cell 317,3633.8028169014083,921.3943661971831,132,360,0,128,0,638,0,0,37,0,0
Cell 318,4329.558823529412,919.3602941176471,101,0,50,0,0,91,0,0,34,24,27
Cell 319,4352.2692307692305,918.7980769230769,52,960,63,0,0,25,0,0,36,21,43
Cell 320,2394.025974025974,919.5844155844156,40,154,0,0,666,0,92,73,16,0,0
Cell 321,1626.7761194029852,919.5970149253732,0,0,0,0,309,0,205,242,137,372,0
Cell 322,2295.4324324324325,922.7702702702703,20,72,0,104,0,518,0,0,74,0,0
Cell 323,3615.2413793103447,921.6724137931035,25,0,0,0,888,0,0,0,27,0,0
Cell 324,1238.8032786885246,926.8032786885246,0,0,307,634,11,0,139,505,24,0,0
Cell 325,2994.956043956044,927.2747252747253,17,15,13,0,0,126,0,0,61,0,0
Cell 326,3136.19,929.12,0,16,30,29,0,148,0,0,16,0,0
Cell 327,5452.151515151515,927.0454545454545,0,0,0,0,0,0,0,0,0,0,0
Cell 328,5916.057692307692,927.3557692307693,15,46,0,0,252,92,786,611,0,183,0
Cell 329,1026.962962962963,929.6543209876543,0,96,0,142,294,242,605,728,157,134,0
Cell 330,2489.5853658536585,931.4634146341464,0,20,0,37,309,290,623,0,34,0,0
Cell 331,4950.13829787234,932.0531914893617,40,101,0,0,366,0,0,0,0,0,0
Cell 332,5273.271428571428,935.5428571428571,34,184,0,45,595,368,184,834,28,43,0
Cell 333,2898.021978021978,933.2527472527472,26,94,0,204,0,445,0,0,120,0,0
Cell 334,2973.22,934.7,0,67,0,50,15,0,0,0,92,10,0
Cell 335,3113.11,936.74,16,89,0,133,0,521,0,0,180,19,0
Cell 336,4419.412844036698,937.6330275229358,52,205,0,0,680,0,530,210,0,0,0
Cell 337,5446.563829787234,936.5744680851063,0,20,0,0,480,988,0,1259,0,144,0
Cell 338,1658.3857142857144,937.2714285714286,21,15,0,0,0,0,0,0,0,0,0
Cell 339,2719.0338983050847,937.9067796610169,43,42,0,218,1330,685,532,568,318,0,0
Cell 340,3329.2328767123286,937.054794520548,0,0,0,18,138,71,322,586,0,0,0
Cell 341,2209.575221238938,941.929203539823,0,25,46,670,0,47,0,229,38,0,0
Cell 342,2954.122448979592,941.1734693877551,0,73,0,55,0,379,0,0,45,0,0
Cell 343,5168.4697986577185,944.3288590604027,62,0,0,0,0,56,67,883,0,177,0
Cell 344,2865.0833333333335,940.2,0,0,0,65,0,275,0,0,67,0,0
Cell 345,2882.1428571428573,941.0892857142857,0,38,12,0,0,0,0,0,0,0,0
Cell 346,4964.586956521739,940.9673913043479,13,20,0,0,0,0,0,24,0,17,0
Cell 347,1331.0697674418604,942.9767441860465,0,0,132,508,319,130,212,0,0,0,0
Cell 348,1365.025,942.65,0,0,30,355,326,288,667,0,44,0,0
Cell 349,2239.5402298850577,945.0,0,0,232,0,0,14,0,0,0,0,0
Cell 350,1648.7054794520548,946.6986301369863,11,34,297,627,691,258,978,644,284,18,0
Cell 351,1219.8279569892472,947.010752688172,20,0,0,46,361,0,322,253,18,102,0
Cell 352,3229.223404255319,948.2234042553191,95,144,0,168,0,394,0,0,78,117,0
Cell 353,1988.581818181818,953.2181818181818,0,0,290,692,770,71,827,461,154,29,0
Cell 354,2710.0666666666666,949.2666666666667,0,0,0,0,0,0,0,0,27,0,0
Cell 355,3173.916030534351,951.2671755725191,13,183,58,16,651,382,567,789,143,145,0
Cell 356,4154.673076923077,949.75,24,100,0,0,0,88,0,0,0,0,0
Cell 357,1315.5223880597016,950.6716417910447,0,0,0,0,0,0,0,0,25,0,0
Cell 358,1147.4285714285713,953.4166666666666,12,50,113,518,239,356,437,79,97,34,0
Cell 359,1347.2549019607843,952.2549019607843,20,0,89,0,0,0,0,0,29,0,0
Cell 360,4076.977011494253,953.5747126436781,17,141,0,0,674,0,757,164,0,14,0
Cell 361,4961.338983050848,952.7627118644068,0,0,0,0,401,0,54,207,0,0,0
Cell 362,5404.528089887641,956.1573033707865,46,111,0,0,417,239,907,531,0,345,0
Cell 363,1400.4912280701753,955.8859649122807,0,0,17,292,326,207,382,582,120,0,0
Cell 364,5763.566666666667,957.9333333333333,49,0,0,23,0,0,0,0,0,0,17
Cell 365,4012.6,957.8166666666667,45,168,0,0,0,85,0,0,24,0,0
Cell 366,2406.821917808219,962.5616438356165,0,52,200,0,0,0,0,98,58,0,0
Cell 367,1301.5061728395062,964.8395061728395,10,0,95,308,236,83,211,0,95,0,0
Cell 368,2156.4747474747473,965.4646464646464,0,0,0,356,733,242,0,876,0,0,0
Cell 369,3443.4242424242425,965.7272727272727,0,290,0,0,0,121,0,0,23,0,0
Cell 370,3243.990740740741,967.8055555555555,11,56,0,0,939,0,0,0,0,0,0
Cell 371,3795.0243902439024,969.7073170731708,59,195,0,87,0,225,0,0,99,133,0
Cell 372,3769.509433962264,971.8867924528302,57,206,0,0,0,85,0,0,62,17,0
Cell 373,4185.964285714285,969.5535714285714,45,0,0,0,0,23,0,0,0,0,0
Cell 374,2143.766666666667,972.4333333333333,0,54,0,0,0,0,792,0,144,0,0
Cell 375,5778.712871287129,973.5049504950495,50,338,0,97,0,718,0,0,0,541,0
Cell 376,766.4807692307693,979.7067307692307,29,20,552,470,224,388,686,993,220,49,0
Cell 377,3423.3440860215055,976.7741935483871,30,170,0,27,0,138,0,0,91,0,0
Cell 378,2409.887640449438,980.3483146067416,45,400,0,495,0,30,0,0,140,0,12
Cell 379,4564.896226415094,979.6603773584906,57,147,0,0,327,182,976,969,0,35,0
Cell 380,5560.986842105263,982.2894736842105,81,243,0,105,511,510,0,0,19,68,0
Cell 381,2315.1022727272725,983.5340909090909,27,40,341,0,541,111,330,181,91,0,0
Cell 382,3361.453781512605,983.0840336134454,85,422,0,13,656,382,0,605,85,73,0
Cell 383,4187.379746835443,982.1518987341772,84,413,0,13,0,729,0,0,0,0,13
Cell 384,4342.428571428572,987.3076923076923,0,408,0,12,0,0,0,0,10,0,0
Cell 385,830.3947368421053,991.2017543859649,0,0,91,164,174,159,286,575,79,91,0
Cell 386,4356.158415841584,990.940594059406,112,0,0,0,626,242,0,37,16,61,0
Cell 387,4471.561983471074,993.099173553719,45,195,0,0,973,96,593,159,10,258,0
Cell 388,3444.5535714285716,992.9821428571429,0,445,0,0,878,414,1004,718,0,0,0
Cell 389,5779.883116883117,994.0649350649351,0,52,0,11,0,0,0,0,0,36,0
Cell 390,2255.1794871794873,998.7564102564103,16,33,11,77,575,255,357,489,82,0,0
Cell 391,3241.299270072993,1000.3357664233577,0,89,0,24,774,196,0,796,0,0,0
Cell 392,2399.8023255813955,1001.9302325581396,98,0,18,53,0,0,0,0,181,0,0
Cell 393,1281.9333333333334,1005.1238095238095,67,138,197,375,902,613,0,838,272,129,0
Cell 394,3033.1894736842105,1006.5263157894736,49,384,0,207,710,536,0,0,269,65,0
Cell 395,5786.666666666667,1007.183908045977,42,314,168,373,0,0,0,36,338,89,649
Cell 396,2062.3859649122805,1005.9473684210526,54,70,0,38,531,137,711,426,131,0,0
Cell 397,2520.070707070707,1007.8181818181819,54,158,0,63,0,480,0,669,96,0,0
Cell 398,2980.313432835821,1005.8656716417911,0,118,131,54,241,135,756,805,50,0,22
Cell 399,1097.3578947368421,1013.3052631578947,29,58,150,134,261,82,563,298,143,0,0
Cell 400,2480.223300970874,1013.1844660194175,105,112,365,700,0,173,0,589,274,0,0
Cell 401,3875.714285714286,1015.3877551020408,116,0,0,0,0,0,0,0,37,552,57
Cell 402,3669.1758241758243,1016.3846153846154,100,406,10,0,904,46,0,0,0,0,0
Cell 403,3212.4266666666667,1020.1733333333333,37,154,0,0,0,260,0,0,41,0,0
Cell 404,660.0785340314136,1021.6178010471205,0,0,0,986,429,108,128,55,380,291,0
Cell 405,685.7180616740088,1021.4493392070484,45,109,0,228,44,15,0,0,203,20,20
Cell 406,1327.8080808080808,1021.040404040404,0,56,521,820,528,335,395,648,132,0,0
Cell 407,4182.203883495145,1021.4174757281553,56,147,18,0,483,381,0,0,0,0,0
Cell 408,5312.731182795699,1021.1720430107526,81,334,0,18,581,605,0,884,22,72,10
Cell 409,4415.755725190839,1024.2595419847328,73,236,0,0,544,60,863,255,0,152,0
Cell 410,5686.0344827586205,1027.905172413793,88,292,0,109,491,0,233,20,15,376,75
Cell 411,3978.8256880733943,1030.51376146789,43,163,406,0,415,0,484,131,0,0,0
Cell 412,4981.817204301075,1033.268817204301,0,0,0,0,0,0,0,0,0,0,0
Cell 413,1690.7450980392157,1034.313725490196,0,0,0,0,272,0,470,0,0,0,0
Cell 414,3670.045045045045,1035.3603603603603,59,0,0,0,0,103,0,783,0,20,0
Cell 415,4760.605042016807,1041.5882352941176,66,430,0,0,0,487,0,618,17,0,0
Cell 416,1869.703125,1040.2109375,0,51,27,0,1056,0,1033,993,105,0,0
Cell 417,3866.012987012987,1041.9610389610389,27,0,0,0,0,58,0,0,0,0,0
Cell 418,4992.368421052632,1040.0526315789473,78,381,26,0,991,257,0,939,36,0,0
Cell 419,2627.294117647059,1040.8529411764705,24,87,32,13,987,88,1004,588,79,0,0
Cell 420,3882.56,1041.25,174,0,0,0,0,206,67,0,67,0,0
Cell 421,5709.203883495145,1043.2330097087379,92,162,0,14,170,874,0,0,0,198,18
Cell 422,752.269372693727,1052.0073800738007,68,171,0,750,955,644,844,936,370,17,0
Cell 423,5058.427350427351,1048.6837606837607,0,67,0,0,215,0,197,108,0,0,0
Cell 424,991.5510204081633,1049.5714285714287,0,101,495,508,0,10,237,182,231,0,0
Cell 425,1251.5294117647059,1049.6078431372548,124,195,187,257,543,511,0,580,219,10,31
Cell 426,2835.8083333333334,1050.8166666666666,63,0,0,23,318,0,461,475,0,0,0
Cell 427,593.3582089552239,1052.1716417910447,46,52,0,469,443,1118,1701,715,165,23,0
Cell 428,1517.7333333333333,1052.68,0,105,0,64,855,278,0,0,125,0,0
Cell 429,5182.549180327869,1056.0245901639344,97,401,220,55,437,0,0,0,0,0,0
Cell 430,472.7303370786517,1055.4044943820224,0,0,0,142,21,64,405,466,151,0,0
Cell 431,5731.224137931034,1055.3793103448277,0,0,0,0,0,90,0,15,0,0,0
Cell 432,3890.5087719298244,1066.9122807017543,90,0,0,0,0,0,0,0,0,0,0
Cell 433,5846.602272727273,1065.9431818181818,75,140,0,43,548,389,862,403,23,602,0
Cell 434,672.3867924528302,1069.0377358490566,0,0,39,53,50,22,52,249,10,0,0
Cell 435,3137.8023255813955,1069.0,47,0,0,0,0,0,939,0,0,0,0
Cell 436,3122.862068965517,1073.3103448275863,0,373,0,0,605,361,98,0,0,16,0
Cell 437,4304.806451612903,1077.225806451613,25,62,0,0,259,0,381,72,0,0,0
Cell 438,1767.7943925233644,1080.8130841121495,10,46,0,253,595,110,263,208,138,0,0
Cell 439,3496.360824742268,1081.9278350515465,0,193,0,0,299,132,0,478,0,212,12
Cell 440,4772.287234042553,1081.6489361702127,137,220,0,0,582,204,1426,341,14,0,0
Cell 441,2795.14606741573,1086.5842696629213,57,327,11,0,821,518,868,0,137,0,0
Cell 442,943.2268041237113,1087.958762886598,0,0,430,331,0,0,53,160,15,0,0
Cell 443,2920.688311688312,1086.4805194805194,66,0,0,0,0,77,0,0,42,0,0
Cell 444,3390.798165137615,1087.6697247706422,84,301,0,85,0,313,0,36,41,496,37
Cell 445,5510.122641509434,1089.7735849056603,37,83,0,0,196,109,0,136,19,356,0
Cell 446,5918.483146067416,1087.2359550561798,0,156,0,0,455,25,398,585,0,29,0
Cell 447,4051.752808988764,1093.6179775280898,24,123,0,0,87,152,52,306,0,0,0
Cell 448,4390.553571428572,1094.0625,56,268,0,0,927,151,0,643,0,160,0
Cell 449,1032.1022727272727,1094.8863636363637,0,11,15,311,302,275,754,457,146,0,0
Cell 450,5118.515789473684,1098.7157894736843,104,0,0,0,0,128,0,346,22,163,13
Cell 451,5589.324561403509,1098.122807017544,78,283,0,0,358,298,0,688,14,262,19
Cell 452,2051.3009708737864,1100.0679611650485,51,100,155,270,0,128,0,0,47,0,0
Cell 453,1990.2680412371135,1102.1237113402062,24,277,0,25,0,162,0,0,0,0,0
Cell 454,2903.439393939394,1104.030303030303,0,0,0,25,0,572,0,0,34,0,0
Cell 455,2920.5686274509803,1100.1764705882354,108,0,379,569,0,0,0,0,124,0,0
Cell 456,2088.7125,1105.0375,87,211,147,129,0,127,0,537,140,46,0
Cell 457,2787.214285714286,1103.1142857142856,0,0,0,0,0,0,0,0,0,35,0
Cell 458,881.4029850746268,1104.686567164179,0,0,0,0,972,0,0,0,0,0,0
Cell 459,1317.514563106796,1106.883495145631,0,142,0,89,752,406,1102,604,251,177,0
Cell 460,616.4731707317073,1111.4682926829269,51,134,505,530,764,878,796,0,380,42,0
Cell 461,2005.2435897435898,1108.2307692307693,80,0,110,63,0,0,0,0,280,0,0
Cell 462,305.1029411764706,1107.7794117647059,0,0,0,0,0,55,79,48,82,0,0
Cell 463,3363.0823529411764,1110.835294117647,10,0,0,0,0,51,0,0,0,0,0
Cell 464,1235.6138613861385,1115.8019801980197,646,324,0,50,0,0,0,0,101,345,700
Cell 465,4129.595959595959,1111.7676767676767,53,180,0,0,452,25,898,97,0,0,0
Cell 466,4501.313725490196,1110.862745098039,71,0,0,0,791,0,0,0,0,59,0
Cell 467,5301.091743119266,1111.119266055046,79,171,0,0,717,268,1644,881,16,0,27
Cell 468,5437.894736842105,1111.5964912280701,12,25,0,0,239,11,182,33,0,96,0
Cell 469,5783.919191919192,1112.090909090909,0,0,0,66,0,0,0,0,18,284,19
Cell 470,4086.2566371681414,1114.283185840708,136,571,12,0,997,113,0,647,35,42,0
Cell 471,4186.655913978495,1113.6774193548388,66,142,0,0,0,40,0,265,0,0,0
Cell 472,5397.903225806452,1112.1612903225807,0,0,22,50,354,171,776,277,12,51,0
Cell 473,109.84507042253522,1116.4225352112676,0,0,0,0,0,75,86,0,0,0,0
Cell 474,2678.887755102041,1118.6020408163265,164,439,115,70,0,221,60,1198,123,0,0
Cell 475,3382.21,1118.14,76,509,0,0,0,172,0,0,0,0,0
Cell 476,4213.970297029703,1119.118811881188,77,224,0,0,974,0,0,499,0,0,0
Cell 477,4639.778761061947,1119.8053097345132,127,549,0,0,0,733,0,797,0,0,14
Cell 478,2338.55,1120.31,0,168,0,123,0,547,0,0,92,25,0
Cell 479,1214.6759259259259,1124.1944444444443,23,29,0,0,0,0,0,0,183,0,0
Cell 480,5788.177419354839,1124.0,215,0,0,0,0,0,0,0,0,0,11
Cell 481,876.6869565217391,1132.4478260869564,0,0,614,568,378,293,427,621,168,0,0
Cell 482,4488.694656488549,1128.4580152671756,95,561,0,0,0,844,0,0,0,60,0
Cell 483,5755.637254901961,1128.7745098039215,69,0,0,15,0,0,0,15,40,39,23
Cell 484,1609.5583333333334,1130.65,0,128,0,137,634,706,764,904,209,0,0
Cell 485,2156.450980392157,1129.686274509804,115,252,469,157,660,687,0,0,209,10,45
Cell 486,2318.6046511627906,1131.3023255813953,0,50,379,205,0,139,0,0,56,0,0
Cell 487,959.4621848739496,1134.310924369748,47,58,320,286,493,62,851,759,193,0,0
Cell 488,4725.106382978724,1132.712765957447,61,170,0,0,806,213,0,0,0,0,0
Cell 489,1253.5227272727273,1136.1818181818182,29,63,0,0,0,0,0,0,0,11,0
Cell 490,4750.046153846154,1135.2769230769231,0,137,0,0,0,270,75,557,0,0,0
Cell 491,4604.342342342342,1138.0900900900901,58,194,0,0,221,254,0,249,0,137,0
Cell 492,4641.186274509804,1136.137254901961,87,0,0,0,902,0,0,0,0,0,32
Cell 493,1236.5309734513273,1142.725663716814,0,127,0,0,0,0,0,0,299,0,0
Cell 494,172.5392670157068,1146.7225130890051,0,33,0,0,0,0,0,0,92,0,0
Cell 495,1402.9850746268658,1143.7462686567164,0,0,0,68,149,84,0,550,0,0,0
Cell 496,2875.4615384615386,1145.982905982906,120,207,0,207,702,207,0,921,24,210,28
Cell 497,4952.269565217392,1145.7565217391304,88,146,0,0,570,60,928,0,0,0,14
Cell 498,5779.466019417476,1145.378640776699,118,0,0,174,0,0,0,0,40,244,0
Cell 499,1414.876712328767,1146.7260273972602,23,15,0,0,228,113,774,0,0,0,0
Cell 500,3670.22,1148.43,33,252,0,19,661,298,624,439,0,0,0
Cell 501,4041.425,1147.475,0,65,0,0,39,0,531,136,0,0,0
Cell 502,5816.9375,1148.015625,49,0,0,0,0,0,0,18,0,0,0
Cell 503,1135.0507246376812,1153.8623188405797,10,82,184,307,0,869,0,37,331,0,31
Cell 504,4057.7916666666665,1150.263888888889,32,106,0,0,399,0,0,0,0,0,0
Cell 505,739.7984496124031,1154.5697674418604,0,57,0,0,77,0,39,55,16,0,0
Cell 506,2003.5258620689656,1154.051724137931,135,160,11,162,929,364,0,290,77,0,31
Cell 507,5317.5,1157.4568965517242,41,166,0,0,639,29,670,166,0,143,0
Cell 508,2742.7818181818184,1162.4545454545455,0,0,0,0,36,0,479,197,0,0,0
Cell 509,4734.663157894737,1160.4315789473685,70,177,0,0,435,392,0,380,0,0,19
Cell 510,486.17605633802816,1163.9507042253522,16,68,0,408,621,248,190,698,154,14,0
Cell 511,691.8669527896996,1159.3175965665237,0,0,0,0,0,0,39,0,0,0,0
Cell 512,5805.226804123711,1162.0515463917525,94,842,0,0,0,30,0,827,12,0,0
Cell 513,1364.639175257732,1165.3505154639174,41,55,0,0,854,0,0,0,65,0,0
Cell 514,1666.734375,1161.875,0,0,0,0,51,114,517,565,0,0,0
Cell 515,639.6703296703297,1166.2747252747254,31,231,0,550,0,495,0,0,0,57,11
Cell 516,5819.313725490196,1169.686274509804,62,0,0,20,0,131,0,0,51,367,41
Cell 517,1376.607142857143,1166.0535714285713,0,0,85,554,0,0,0,0,0,0,0
Cell 518,2604.904761904762,1169.0,74,151,0,0,0,203,894,772,35,0,0
Cell 519,4617.877049180328,1167.7540983606557,22,187,0,0,358,273,70,363,0,0,0
Cell 520,651.4950495049505,1171.5049504950496,60,0,100,0,0,0,989,0,309,26,19
Cell 521,1334.5096153846155,1169.8557692307693,0,126,0,157,383,0,0,0,157,0,0
Cell 522,2776.25,1169.6666666666667,82,284,0,24,612,193,607,325,0,0,0
Cell 523,5430.532710280374,1178.1028037383178,103,18,0,0,505,0,0,0,0,0,0
Cell 524,4821.765432098766,1180.320987654321,15,32,0,0,128,55,1384,0,0,0,0
Cell 525,992.5576923076923,1184.2211538461538,62,185,135,171,830,566,0,965,225,230,0
Cell 526,2830.8695652173915,1184.2391304347825,0,25,391,90,216,123,375,14,0,0,0
Cell 527,2464.1809523809525,1187.6,105,674,0,0,0,659,0,0,79,13,0
Cell 528,2590.4835164835163,1186.989010989011,26,0,0,233,0,0,59,0,0,0,0
Cell 529,2443.037037037037,1189.7962962962963,50,0,0,0,0,0,0,0,0,0,0
Cell 530,3246.7901234567903,1189.7530864197531,15,23,14,0,493,13,865,483,10,448,0
Cell 531,927.6896551724138,1189.0862068965516,58,0,0,0,0,0,0,0,0,0,0
Cell 532,947.2844827586207,1196.1120689655172,133,0,0,0,0,0,0,0,0,0,0
Cell 533,3599.605504587156,1197.211009174312,80,249,0,0,0,77,0,175,0,429,18
Cell 534,5444.565217391304,1196.304347826087,93,164,0,0,0,461,0,524,0,0,57
Cell 535,930.7837837837837,1200.2342342342342,24,154,359,0,936,897,0,0,267,0,20
Cell 536,834.1621621621622,1211.6306306306305,174,286,0,685,804,731,0,0,248,59,38
Cell 537,5190.0,1207.3375,47,169,0,0,562,13,500,58,0,26,27
Cell 538,5177.882352941177,1210.3529411764705,0,0,0,0,0,0,0,0,0,0,0
Cell 539,91.42465753424658,1211.876712328767,0,0,0,0,0,0,0,0,49,0,0
Cell 540,474.3777777777778,1214.388888888889,22,16,394,393,644,145,305,348,163,44,18
Cell 541,4138.086956521739,1215.6695652173912,55,244,0,0,669,0,924,250,0,0,0
Cell 542,4251.196078431372,1219.078431372549,70,220,0,0,620,51,1383,389,0,98,0
Cell 543,3616.6111111111113,1221.0277777777778,83,357,0,0,0,0,0,127,0,184,0
Cell 544,4051.252100840336,1221.2436974789916,38,344,0,0,0,0,0,85,0,0,0
Cell 545,5186.09756097561,1219.7317073170732,0,0,0,0,0,0,0,0,0,0,0
Cell 546,5451.954545454545,1218.121212121212,12,0,0,0,0,0,0,0,0,0,0
Cell 547,63.89565217391304,1224.5739130434783,0,16,0,0,0,69,77,10,58,0,0
Cell 548,1887.3956043956043,1221.4945054945056,132,0,0,0,0,702,0,0,42,0,15
Cell 549,4576.53488372093,1221.9186046511627,65,134,0,0,344,0,231,0,0,129,84
Cell 550,1280.1049382716049,1225.5185185185185,119,176,94,196,0,676,0,0,194,35,33
Cell 551,1875.1341463414635,1225.9268292682927,0,340,83,134,0,0,64,0,25,0,0
Cell 552,3719.4,1225.2615384615385,62,332,34,0,753,11,769,50,0,0,0
Cell 553,4081.3217391304347,1230.608695652174,95,300,0,0,0,175,0,321,19,174,12
Cell 554,5444.0,1228.5230769230768,48,53,0,0,491,630,1382,417,0,64,0
Cell 555,1689.4583333333333,1231.71875,96,177,23,73,1643,383,909,648,109,365,0
Cell 556,1732.6216216216217,1233.5765765765766,91,247,0,12,571,682,0,895,46,55,24
Cell 557,3452.7024793388427,1234.8347107438017,83,375,0,0,693,0,705,275,0,0,66
Cell 558,1747.704918032787,1235.3934426229507,68,20,69,257,0,0,0,0,0,0,0
Cell 559,3021.6923076923076,1239.3186813186812,0,0,0,0,17,0,407,129,0,0,0
Cell 560,4471.898148148148,1248.1574074074074,87,164,0,0,704,149,840,23,0,0,32
Cell 561,4001.345238095238,1247.904761904762,27,145,0,0,556,0,486,119,0,0,0
Cell 562,273.2121212121212,1250.989898989899,0,0,26,11,64,0,0,0,144,0,0
Cell 563,768.9354838709677,1251.2064516129033,83,23,16,133,384,10,718,777,145,197,17
Cell 564,2426.621848739496,1250.310924369748,38,372,0,0,0,90,0,517,0,0,98
Cell 565,3322.595041322314,1250.2314049586778,16,236,0,0,608,0,513,91,0,0,0
Cell 566,4896.430894308943,1249.4715447154472,81,206,0,0,482,85,191,205,0,0,0
Cell 567,4702.148514851485,1252.1584158415842,51,361,0,0,387,0,0,0,0,0,46
Cell 568,4671.78125,1254.234375,0,25,0,0,0,0,0,0,0,0,0
Cell 569,1102.532786885246,1259.7459016393443,72,65,245,238,500,170,664,357,68,0,10
Cell 570,3908.75,1259.6875,47,135,28,0,183,0,488,0,0,198,0
Cell 571,5567.504854368932,1259.9320388349515,71,130,0,0,584,0,1658,0,0,308,51
Cell 572,256.02,1262.32,40,31,0,186,197,156,971,768,91,0,0
Cell 573,1229.2177777777779,1268.1155555555556,102,75,893,986,0,310,896,665,85,0,46
Cell 574,2263.5363636363636,1267.7727272727273,37,46,344,27,737,187,564,717,22,0,0
Cell 575,3560.4039408866997,1271.088669950739,234,982,0,0,0,0,0,549,36,903,101
Cell 576,4696.1238095238095,1267.2285714285715,85,0,0,0,0,485,0,616,0,0,0
Cell 577,5870.666666666667,1266.6979166666667,167,320,0,0,667,380,0,854,20,245,0
Cell 578,2045.6914893617022,1268.8936170212767,78,243,10,73,871,578,0,0,0,0,22
Cell 579,3535.9406779661017,1276.1610169491526,0,0,0,0,0,11,0,0,0,0,35
Cell 580,5613.875,1276.21875,28,184,0,0,611,22,645,54,0,287,0
Cell 581,4429.4157303370785,1279.8314606741574,37,158,0,0,352,0,428,393,0,0,0
Cell 582,3760.93,1284.19,112,441,0,0,995,223,833,19,0,12,76
Cell 583,3880.3275862068967,1282.4827586206898,86,0,101,0,0,31,0,110,0,0,0
Cell 584,3849.4137931034484,1286.0804597701149,0,0,0,0,0,0,0,148,0,0,0
Cell 585,128.75,1288.0333333333333,0,0,0,0,0,0,13,0,18,0,0
Cell 586,2108.6732673267325,1291.5445544554455,65,266,12,0,0,86,0,469,40,15,19
Cell 587,3159.655172413793,1290.948275862069,20,42,0,0,378,58,297,0,0,0,0
Cell 588,3084.630769230769,1293.2923076923078,103,0,13,0,0,41,1009,0,15,0,78
Cell 589,3865.575221238938,1295.7610619469026,114,999,0,0,0,191,0,68,18,0,24
Cell 590,3071.3548387096776,1295.483870967742,18,494,0,0,0,280,0,578,15,0,0
Cell 591,4084.384,1296.344,111,182,0,0,262,0,1715,0,0,0,12
Cell 592,667.3904109589041,1300.6164383561643,53,86,0,0,0,189,0,0,123,0,0
Cell 593,682.4226804123712,1299.5567010309278,77,18,712,776,0,234,134,918,60,0,0
Cell 594,6.333333333333333,1297.8472222222222,0,0,0,0,0,41,0,0,0,0,0
Cell 595,4575.646464646465,1302.090909090909,0,59,0,0,89,278,626,240,0,0,0
Cell 596,804.6708860759494,1307.5632911392406,0,22,369,347,317,166,858,847,28,0,0
Cell 597,2958.2875,1305.8625,72,772,0,0,0,0,0,0,34,0,10
Cell 598,4790.593220338983,1308.1864406779662,119,291,0,0,633,127,0,526,0,0,38
Cell 599,2786.8571428571427,1307.3469387755101,32,163,0,0,0,0,1462,286,0,0,0
Cell 600,2943.5,1308.4905660377358,113,0,0,52,0,580,0,0,46,94,47
Cell 601,1169.84,1312.728,90,319,0,24,914,391,0,481,0,23,29
Cell 602,1577.6701030927834,1313.1649484536083,0,43,0,82,0,0,0,0,25,0,0
Cell 603,2975.717171717172,1310.6565656565656,107,0,12,0,0,0,0,0,18,0,11
Cell 604,3476.120879120879,1311.076923076923,0,151,0,0,121,0,0,0,0,115,0
Cell 605,5216.285714285715,1312.8482142857142,57,90,0,0,555,0,724,44,0,0,0
Cell 606,356.02150537634407,1312.6451612903227,92,88,37,0,802,693,0,0,198,33,0
Cell 607,5082.976470588235,1318.0470588235294,0,42,0,0,126,17,0,0,0,0,0
Cell 608,5141.2558139534885,1317.5697674418604,0,59,0,0,187,0,10,0,0,0,0
Cell 609,4266.678571428572,1320.2380952380952,26,388,0,0,594,0,475,0,0,0,0
Cell 610,1563.9318181818182,1321.1136363636363,224,155,0,43,0,502,0,823,24,0,0
Cell 611,3460.972222222222,1320.513888888889,0,0,0,0,0,0,0,0,0,0,0
Cell 612,317.40909090909093,1323.378787878788,31,22,165,0,180,146,0,0,117,0,0
Cell 613,5065.028571428571,1323.9142857142858,0,152,0,0,10,0,0,10,0,0,0
Cell 614,3677.157142857143,1327.3714285714286,0,0,0,0,0,0,0,0,0,0,0
Cell 615,4256.735294117647,1327.6911764705883,29,0,0,0,0,0,0,14,0,0,38
Cell 616,2774.076923076923,1329.2884615384614,0,0,0,0,486,0,542,12,0,0,0
Cell 617,5053.9240506329115,1331.2025316455697,51,0,0,0,221,109,0,24,650,0,0
Cell 618,3693.6111111111113,1332.25,85,0,0,14,0,0,0,21,0,0,0
Cell 619,5085.139344262295,1333.4180327868853,15,19,0,0,141,19,0,0,0,0,0
Cell 620,86.56302521008404,1334.5714285714287,0,0,0,0,0,0,0,0,0,0,0
Cell 621,2785.9032258064517,1332.731182795699,0,19,0,0,998,0,286,0,0,0,0
Cell 622,3463.4054054054054,1334.7297297297298,33,393,0,0,820,0,0,108,0,556,69
Cell 623,2898.3366336633662,1337.4356435643565,27,161,0,0,636,0,133,27,13,0,0
Cell 624,3676.4666666666667,1341.7904761904763,56,0,0,0,0,0,0,107,0,0,20
Cell 625,4171.61797752809,1339.1685393258426,49,157,0,0,569,0,717,109,0,0,0
Cell 626,2029.041237113402,1348.2061855670104,72,243,0,42,799,224,0,313,0,0,0
