cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 72,3694.3928571428573,545.75,0,0,0,41,15,0,0,0,0,0,0
Cell 73,4911.164383561644,547.1917808219179,16,110,0,0,396,37,1571,1428,33,293,0
Cell 74,3064.795918367347,551.7551020408164,0,0,560,0,156,0,0,0,90,0,0
Cell 75,3232.375,551.5,15,0,720,0,0,0,410,0,491,0,0
Cell 76,5698.673076923077,560.1057692307693,39,222,0,107,515,10,0,0,69,332,0
Cell 77,3420.7263157894736,561.8210526315789,17,15,11,582,319,0,459,808,45,0,0
Cell 78,5795.335329341317,564.0479041916168,109,359,0,217,0,227,0,0,11,196,0
Cell 79,5489.177083333333,563.40625,32,179,0,31,595,205,0,0,25,18,0
Cell 80,5875.587628865979,565.639175257732,55,76,0,149,563,82,0,0,22,158,32
Cell 81,5947.639175257732,564.0721649484536,0,132,0,146,915,0,0,51,0,193,0
Cell 82,4356.050632911392,567.2405063291139,140,171,0,224,0,518,0,0,133,0,0
Cell 83,4532.280303030303,568.6287878787879,180,315,10,195,0,205,255,285,234,162,48
Cell 84,2480.6716417910447,569.3283582089553,0,0,0,0,0,0,0,0,0,0,0
Cell 85,5816.6138613861385,569.7722772277227,41,131,0,195,0,499,0,0,0,204,0
Cell 86,4333.161904761905,580.3809523809524,44,117,32,36,0,0,0,0,65,0,0
Cell 87,5864.378378378378,581.027027027027,0,0,0,0,0,14,0,11,0,0,0
Cell 88,2410.0943396226417,583.5471698113207,0,0,0,0,114,0,154,400,87,304,0
Cell 89,2255.4368932038833,586.2718446601941,0,0,119,739,254,0,0,280,168,0,0
Cell 90,4228.487804878048,587.2073170731708,0,0,0,0,225,0,563,642,0,0,0
Cell 91,5190.735042735043,588.1880341880342,65,112,0,85,1079,931,0,184,225,280,0
Cell 92,2225.9238095238097,590.2476190476191,0,0,0,0,137,48,776,0,221,0,0
Cell 93,2639.6603773584907,587.3207547169811,0,0,350,729,460,0,350,768,210,27,0
Cell 94,4511.458333333333,589.1979166666666,44,221,115,92,0,48,0,0,154,114,0
Cell 95,4052.8947368421054,593.1228070175439,41,121,0,91,837,41,959,0,80,11,0
Cell 96,4133.805825242718,592.7184466019418,46,235,0,74,963,341,1106,0,144,0,0
Cell 97,5814.7786885245905,591.8934426229508,20,144,11,130,0,98,0,0,0,370,0
Cell 98,2313.278260869565,594.8,0,0,0,513,168,81,273,463,218,422,0
Cell 99,2473.987012987013,593.2337662337662,0,0,0,489,538,0,759,35,367,157,0
Cell 100,4612.272727272727,593.1818181818181,41,88,0,17,0,0,0,0,0,29,0
Cell 101,2955.357894736842,596.8,39,0,41,74,0,425,0,0,0,0,0
Cell 102,5724.448275862069,597.3908045977012,75,145,0,180,551,256,0,0,96,92,0
Cell 103,2460.5423728813557,597.728813559322,0,0,391,0,0,0,0,29,0,0,0
Cell 104,5362.534090909091,597.1931818181819,0,0,0,0,0,0,0,0,0,0,0
Cell 105,5380.464566929134,601.4251968503937,73,410,0,0,876,357,0,0,61,0,0
Cell 106,5643.1511627906975,600.0116279069767,0,0,0,0,18,0,0,0,0,0,0
Cell 107,2872.6867469879517,602.855421686747,0,0,276,463,649,224,341,611,323,53,0
Cell 108,4624.954022988506,606.8045977011494,57,190,0,151,530,754,1019,0,0,142,0
Cell 109,5760.521367521367,610.034188034188,49,161,0,176,318,79,0,0,49,96,0
Cell 110,2973.861386138614,610.7623762376238,26,0,966,0,0,11,0,0,0,0,0
Cell 111,2954.2,613.0,0,25,0,0,0,0,0,0,217,0,0
Cell 112,5669.603603603604,614.6486486486486,124,259,0,135,918,259,0,0,39,31,35
Cell 113,2459.269565217391,615.0869565217391,0,0,10,0,0,0,0,34,0,0,0
Cell 114,3703.1927710843374,616.1325301204819,11,27,21,349,249,0,720,561,17,0,0
Cell 115,4365.7532467532465,616.1298701298701,16,0,0,27,0,17,0,0,0,0,0
Cell 116,1852.816,620.592,0,0,49,133,0,0,0,844,643,0,771
Cell 117,3715.681818181818,619.3939393939394,0,0,0,0,0,0,144,11,0,0,0
Cell 118,3069.529411764706,623.3823529411765,24,55,292,292,245,124,456,738,84,0,0
Cell 119,4382.9876543209875,622.4567901234568,72,39,556,277,0,0,0,0,37,0,0
Cell 120,5384.315217391304,620.2608695652174,19,76,0,0,250,0,0,0,0,0,0
Cell 121,5631.0192307692305,619.0192307692307,0,0,0,0,52,34,0,0,0,0,0
Cell 122,2768.5365853658536,623.719512195122,75,130,112,0,29,0,0,277,222,39,0
Cell 123,5070.616161616162,625.5555555555555,35,62,0,0,260,350,0,910,296,0,0
Cell 124,2975.6774193548385,627.1935483870968,0,92,0,0,0,0,0,0,261,0,0
Cell 125,4360.568181818182,629.9545454545455,49,267,0,0,0,185,0,0,0,0,0
Cell 126,5966.776699029127,632.0097087378641,58,237,0,122,679,322,948,747,0,218,0
Cell 127,2458.646153846154,632.4,0,0,519,218,24,0,61,225,80,0,0
Cell 128,3212.6043956043954,633.6483516483516,0,0,416,254,549,0,600,775,153,108,0
Cell 129,2613.293103448276,636.0344827586207,0,0,0,49,23,0,132,28,0,0,0
Cell 130,2778.5636363636363,636.1818181818181,0,0,0,0,0,0,0,0,0,0,0
Cell 131,3943.088888888889,637.2888888888889,14,150,0,128,1116,524,1617,904,105,0,0
