Cellid,X,Y,W,H,cX,cY,Aera
6806,4809,3264,2,2,4809.5,3264.5,2
6807,5184,3264,1,2,5184,3264.5,2
6808,5215,3265,1,1,5215,3265,1
6809,5406,3265,2,1,5406.5,3265,2
6810,6784,3264,1,1,6784,3264,1
6811,6768,3264,62,65,6798.196794,3296.993861,2932
6812,6823,3264,1,1,6823,3264,1
6813,7162,3265,1,1,7162,3265,1
6814,7535,3264,1,1,7535,3264,1
6815,8282,3265,1,1,8282,3265,1
6816,8285,3264,1,1,8285,3264,1
6817,8609,3265,1,1,8609,3265,1
6818,8929,3264,1,1,8929,3264,1
6819,9944,3264,2,1,9944.5,3264,2
6820,9948,3264,1,1,9948,3264,1
6821,5186,3267,3,3,5187.2,3267.6,5
6822,5396,3267,3,1,5397,3267,3
6823,6789,3266,1,1,6789,3266,1
6824,7155,3266,1,1,7155,3266,1
6825,7173,3266,1,1,7173,3266,1
6826,8282,3267,1,1,8282,3267,1
6827,8284,3267,1,1,8284,3267,1
6828,8930,3266,1,1,8930,3266,1
6829,9947,3266,1,1,9947,3266,1
6830,4208,3269,1,1,4208,3269,1
6831,4808,3268,2,1,4808.5,3268,2
6832,5400,3268,4,3,5401.5,3269,4
6833,7152,3268,1,1,7152,3268,1
6834,7154,3268,26,22,7165.933962,3278.412736,424
6835,7464,3268,1,1,7464,3268,1
6836,8233,3269,1,1,8233,3269,1
6837,8608,3269,1,1,8608,3269,1
6838,11193,3269,1,1,11193,3269,1
6839,4270,3270,2,1,4270.5,3270,2
6840,4811,3271,1,3,4811,3272,3
6841,5215,3271,1,1,5215,3271,1
6842,5403,3271,1,1,5403,3271,1
6843,5419,3271,1,1,5419,3271,1
6844,8611,3271,1,1,8611,3271,1
6845,9946,3270,1,1,9946,3270,1
6846,10760,3270,1,1,10760,3270,1
6847,3809,3272,1,1,3809,3272,1
6848,3811,3272,1,1,3811,3272,1
6849,4813,3272,1,1,4813,3272,1
6850,4815,3273,1,1,4815,3273,1
6851,5039,3272,3,2,5040.25,3272.75,4
