Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,MAX,5112,2352,2576.512910884226,1175.6756801205859,11668372
1,577,4,MAX,1,1,577.0,4.0,1
2,2288,5,MAX,1,1,2288.0,5.0,1
3,325,25,MAX,1,1,325.0,25.0,1
4,728,32,MAX,20,18,736.9194312796209,40.55450236966825,211
5,2477,38,MAX,1,1,2477.0,38.0,1
6,742,48,MAX,1,1,742.0,48.0,1
7,3435,52,MAX,2,2,3435.5,52.5,2
8,1368,58,MAX,1,1,1368.0,58.0,1
9,2403,58,MAX,1,2,2403.0,58.5,2
10,3337,59,MAX,3,3,3337.75,59.75,4
11,1368,61,MAX,1,1,1368.0,61.0,1
12,3340,62,MAX,1,1,3340.0,62.0,1
13,509,67,MAX,1,1,509.0,67.0,1
14,3212,70,MAX,1,1,3212.0,70.0,1
15,1157,75,MAX,3,4,1157.888888888889,76.33333333333333,9
16,1904,87,MAX,1,1,1904.0,87.0,1
17,837,96,MAX,1,1,837.0,96.0,1
18,994,99,MAX,1,1,994.0,99.0,1
19,2048,111,MAX,1,1,2048.0,111.0,1
20,2372,119,MAX,1,1,2372.0,119.0,1
21,2374,119,MAX,1,1,2374.0,119.0,1
22,854,135,MAX,1,2,854.0,135.5,2
23,3319,138,MAX,1,1,3319.0,138.0,1
24,606,144,MAX,16,17,613.5988023952095,151.67065868263472,167
25,3531,147,MAX,1,1,3531.0,147.0,1
26,2035,151,MAX,1,1,2035.0,151.0,1
27,3679,157,MAX,7,8,3681.2105263157896,161.0,19
28,992,159,MAX,1,1,992.0,159.0,1
29,3684,159,MAX,2,2,3684.5,159.5,2
30,1988,162,MAX,7,8,1990.4666666666667,166.26666666666668,15
31,3445,162,MAX,1,1,3445.0,162.0,1
32,3686,162,MAX,1,1,3686.0,162.0,1
33,1986,164,MAX,1,1,1986.0,164.0,1
34,1995,164,MAX,1,1,1995.0,164.0,1
35,1986,166,MAX,1,2,1986.0,166.5,2
36,1055,172,MAX,1,1,1055.0,172.0,1
37,1460,197,MAX,1,1,1460.0,197.0,1
38,1451,198,MAX,4,4,1452.4,199.9,10
39,940,200,MAX,11,14,944.3108108108108,208.2972972972973,74
40,1466,201,MAX,3,3,1466.7142857142858,202.0,7
41,951,203,MAX,1,2,951.0,203.5,2
42,935,205,MAX,4,3,936.375,206.0,8
43,3608,205,MAX,1,1,3608.0,205.0,1
44,1423,209,MAX,3,4,1424.3333333333333,210.55555555555554,9
45,942,215,MAX,1,1,942.0,215.0,1
46,1462,217,MAX,4,5,1463.3333333333333,218.66666666666666,12
47,1492,217,MAX,4,5,1493.4,218.93333333333334,15
48,425,219,MAX,1,2,425.0,219.5,2
49,1474,221,MAX,2,1,1474.5,221.0,2
50,1411,227,MAX,3,3,1412.0,228.0,5
51,1442,227,MAX,3,3,1443.0,228.0,9
52,1459,229,MAX,1,1,1459.0,229.0,1
53,1477,228,MAX,3,4,1478.0,229.2,10
54,9,231,MAX,32,16,25.73728813559322,238.76271186440678,236
55,2517,231,MAX,1,1,2517.0,231.0,1
56,35,235,MAX,1,1,35.0,235.0,1
57,38,234,MAX,39,18,57.00401606425703,241.58634538152612,249
58,72,235,MAX,2,1,72.5,235.0,2
59,183,235,MAX,1,1,183.0,235.0,1
60,174,235,MAX,61,29,202.61696178937558,249.55545200372788,1073
61,1450,235,MAX,1,1,1450.0,235.0,1
62,1452,234,MAX,2,2,1452.3333333333333,234.33333333333334,3
63,178,237,MAX,1,1,178.0,237.0,1
64,2618,237,MAX,1,1,2618.0,237.0,1
65,273,239,MAX,29,15,286.68821292775664,245.53992395437263,263
66,1494,238,MAX,4,5,1495.5882352941176,239.8235294117647,17
67,79,240,MAX,96,27,127.84828164291702,252.61441743503772,1193
68,121,241,MAX,1,1,121.0,241.0,1
69,139,240,MAX,1,1,139.0,240.0,1
70,204,241,MAX,1,1,204.0,241.0,1
71,344,240,MAX,2,3,344.75,241.25,4
72,17,243,MAX,1,1,17.0,243.0,1
73,104,242,MAX,1,1,104.0,242.0,1
74,133,242,MAX,2,3,133.75,242.75,4
75,151,243,MAX,1,1,151.0,243.0,1
76,169,242,MAX,1,1,169.0,242.0,1
77,214,242,MAX,1,1,214.0,242.0,1
78,392,243,MAX,43,28,414.0764525993884,254.94495412844037,327
79,1407,242,MAX,2,2,1407.5,242.5,4
80,1432,242,MAX,4,3,1433.25,242.75,8
81,1472,242,MAX,4,3,1473.3636363636363,243.0909090909091,11
82,156,244,MAX,1,1,156.0,244.0,1
83,161,244,MAX,1,1,161.0,244.0,1
84,167,245,MAX,1,1,167.0,245.0,1
85,257,245,MAX,1,1,257.0,245.0,1
86,263,244,MAX,1,1,263.0,244.0,1
87,2709,244,MAX,2,2,2709.5,244.5,2
88,49,247,MAX,2,2,49.333333333333336,247.66666666666666,3
89,76,247,MAX,1,1,76.0,247.0,1
90,147,246,MAX,2,1,147.5,246.0,2
91,169,246,MAX,1,1,169.0,246.0,1
92,244,246,MAX,2,1,244.5,246.0,2
93,300,247,MAX,1,1,300.0,247.0,1
94,303,246,MAX,1,1,303.0,246.0,1
95,332,247,MAX,8,9,334.79411764705884,252.08823529411765,34
96,410,246,MAX,1,1,410.0,246.0,1
97,3890,246,MAX,1,1,3890.0,246.0,1
98,19,249,MAX,2,3,19.5,250.0,4
99,64,248,MAX,3,3,65.16666666666667,248.83333333333334,6
100,171,248,MAX,1,1,171.0,248.0,1
101,329,248,MAX,1,1,329.0,248.0,1
102,332,248,MAX,1,1,332.0,248.0,1
103,1452,249,MAX,2,2,1452.3333333333333,249.33333333333334,3
104,3889,248,MAX,4,6,3890.0,250.625,8
105,17,250,MAX,1,1,17.0,250.0,1
106,68,250,MAX,1,1,68.0,250.0,1
107,317,250,MAX,1,1,317.0,250.0,1
108,322,251,MAX,1,1,322.0,251.0,1
109,329,250,MAX,1,1,329.0,250.0,1
110,365,251,MAX,3,3,366.0,252.0,4
111,1473,251,MAX,2,2,1473.6666666666667,251.33333333333334,3
112,1480,250,MAX,1,2,1480.0,250.5,2
113,80,252,MAX,1,2,80.0,252.5,2
114,314,252,MAX,1,1,314.0,252.0,1
115,327,252,MAX,1,1,327.0,252.0,1
116,356,253,MAX,4,5,357.25,255.125,8
117,369,252,MAX,1,1,369.0,252.0,1
118,498,253,MAX,1,1,498.0,253.0,1
119,1460,252,MAX,1,1,1460.0,252.0,1
120,346,255,MAX,1,1,346.0,255.0,1
121,364,255,MAX,1,1,364.0,255.0,1
122,369,254,MAX,2,2,369.5,254.5,2
123,372,254,MAX,1,2,372.0,254.5,2
124,377,254,MAX,1,1,377.0,254.0,1
125,437,254,MAX,1,1,437.0,254.0,1
126,438,254,MAX,29,14,451.9676113360324,260.57085020242914,247
127,1408,255,MAX,3,3,1409.0,256.2857142857143,7
128,330,257,MAX,1,1,330.0,257.0,1
129,348,257,MAX,1,1,348.0,257.0,1
130,367,256,MAX,1,1,367.0,256.0,1
131,375,257,MAX,1,1,375.0,257.0,1
132,535,256,MAX,1,1,535.0,256.0,1
133,3571,257,MAX,1,1,3571.0,257.0,1
134,75,259,MAX,1,1,75.0,259.0,1
135,173,258,MAX,1,1,173.0,258.0,1
136,233,258,MAX,1,1,233.0,258.0,1
137,357,259,MAX,1,1,357.0,259.0,1
138,364,258,MAX,1,1,364.0,258.0,1
139,376,259,MAX,3,3,377.1666666666667,259.8333333333333,6
140,399,258,MAX,4,4,400.6,259.2,5
141,408,258,MAX,1,1,408.0,258.0,1
142,433,258,MAX,5,4,434.6363636363636,259.72727272727275,11
143,498,259,MAX,1,1,498.0,259.0,1
144,508,259,MAX,1,1,508.0,259.0,1
145,495,259,MAX,209,39,593.8159008464329,276.8186215235792,3308
146,534,258,MAX,1,1,534.0,258.0,1
147,538,259,MAX,1,1,538.0,259.0,1
148,542,258,MAX,1,1,542.0,258.0,1
149,1432,259,MAX,3,2,1433.0,259.6666666666667,3
150,1596,258,MAX,2,3,1596.75,258.75,4
151,168,260,MAX,2,2,168.5,260.5,2
152,174,260,MAX,3,3,175.0,260.8,5
153,178,260,MAX,1,1,178.0,260.0,1
154,472,261,MAX,3,3,472.8,262.0,5
155,477,261,MAX,1,1,477.0,261.0,1
156,492,261,MAX,1,1,492.0,261.0,1
157,504,261,MAX,1,1,504.0,261.0,1
158,515,260,MAX,1,1,515.0,260.0,1
159,541,260,MAX,4,3,542.75,260.875,8
160,548,261,MAX,1,1,548.0,261.0,1
161,558,261,MAX,1,1,558.0,261.0,1
162,1459,260,MAX,2,1,1459.5,260.0,2
163,1479,261,MAX,1,1,1479.0,261.0,1
164,2145,261,MAX,1,1,2145.0,261.0,1
165,0,262,MAX,1,1,0.0,262.0,1
166,126,262,MAX,1,1,126.0,262.0,1
167,136,262,MAX,2,1,136.5,262.0,2
168,421,262,MAX,1,1,421.0,262.0,1
169,545,262,MAX,2,2,545.5,262.5,2
170,585,262,MAX,1,1,585.0,262.0,1
171,1492,262,MAX,4,3,1493.25,262.75,8
172,54,264,MAX,5,4,56.27272727272727,265.3636363636364,11
173,146,265,MAX,2,1,146.5,265.0,2
174,158,265,MAX,1,1,158.0,265.0,1
175,177,264,MAX,6,6,179.14285714285714,266.57142857142856,21
176,421,264,MAX,1,1,421.0,264.0,1
177,490,264,MAX,2,1,490.5,264.0,2
178,571,265,MAX,3,2,572.0,265.6666666666667,3
179,1467,265,MAX,1,2,1467.0,265.5,2
180,59,267,MAX,1,1,59.0,267.0,1
181,61,266,MAX,1,1,61.0,266.0,1
182,174,266,MAX,1,1,174.0,266.0,1
183,447,266,MAX,2,1,447.5,266.0,2
184,461,267,MAX,1,2,461.0,267.5,2
185,633,266,MAX,2,2,633.5,266.5,2
186,1445,266,MAX,4,3,1446.2,267.0,10
187,63,269,MAX,3,2,64.0,269.3333333333333,3
188,144,269,MAX,2,2,144.5,269.5,4
189,151,268,MAX,2,1,151.5,268.0,2
190,176,269,MAX,1,1,176.0,269.0,1
191,284,268,MAX,1,1,284.0,268.0,1
192,410,268,MAX,1,1,410.0,268.0,1
193,613,268,MAX,1,1,613.0,268.0,1
194,1456,268,MAX,1,1,1456.0,268.0,1
195,1461,268,MAX,1,3,1461.0,269.0,3
196,134,272,MAX,1,2,134.0,272.5,2
197,145,272,MAX,1,1,145.0,272.0,1
198,412,272,MAX,1,1,412.0,272.0,1
199,1482,273,MAX,4,4,1483.4,274.3,10
200,50,274,MAX,6,5,52.6875,276.4375,16
201,412,274,MAX,1,1,412.0,274.0,1
202,443,275,MAX,1,1,443.0,275.0,1
203,446,274,MAX,1,1,446.0,274.0,1
204,506,275,MAX,2,2,506.5,275.5,2
205,1418,274,MAX,3,2,1419.0,274.5,4
206,1461,275,MAX,1,1,1461.0,275.0,1
207,351,277,MAX,1,1,351.0,277.0,1
208,421,276,MAX,2,3,421.5,276.75,4
209,427,277,MAX,1,1,427.0,277.0,1
210,465,277,MAX,1,1,465.0,277.0,1
211,326,278,MAX,1,1,326.0,278.0,1
212,411,279,MAX,1,1,411.0,279.0,1
213,959,279,MAX,2,1,959.5,279.0,2
214,963,279,MAX,8,18,966.6781609195402,286.2758620689655,87
215,402,281,MAX,14,7,408.4655172413793,284.44827586206895,58
216,413,281,MAX,1,1,413.0,281.0,1
217,420,280,MAX,2,1,420.5,280.0,2
218,439,280,MAX,2,1,439.5,280.0,2
219,540,281,MAX,1,1,540.0,281.0,1
220,691,280,MAX,1,1,691.0,280.0,1
221,710,281,MAX,1,1,710.0,281.0,1
222,1438,280,MAX,5,5,1440.0,282.0,17
223,35,282,MAX,3,2,36.0,282.5,4
224,433,283,MAX,1,1,433.0,283.0,1
225,439,282,MAX,1,1,439.0,282.0,1
226,527,283,MAX,1,1,527.0,283.0,1
227,537,282,MAX,1,1,537.0,282.0,1
228,626,283,MAX,1,1,626.0,283.0,1
229,690,282,MAX,1,1,690.0,282.0,1
230,710,283,MAX,1,1,710.0,283.0,1
231,705,283,MAX,120,22,761.7826086956521,293.25418060200667,1196
232,774,283,MAX,1,1,774.0,283.0,1
233,1474,282,MAX,1,1,1474.0,282.0,1
234,639,284,MAX,1,1,639.0,284.0,1
235,650,284,MAX,1,1,650.0,284.0,1
236,690,284,MAX,1,1,690.0,284.0,1
237,960,284,MAX,2,1,960.5,284.0,2
238,1458,284,MAX,4,4,1459.8461538461538,285.61538461538464,13
239,494,286,MAX,2,2,494.5,286.5,4
240,786,286,MAX,1,1,786.0,286.0,1
241,957,286,MAX,3,10,957.875,290.3125,16
242,417,288,MAX,1,1,417.0,288.0,1
243,961,288,MAX,2,2,961.5,288.5,2
244,553,290,MAX,2,1,553.5,290.0,2
245,666,291,MAX,1,1,666.0,291.0,1
246,840,291,MAX,4,7,841.6428571428571,294.5,14
247,414,293,MAX,1,1,414.0,293.0,1
248,634,293,MAX,11,8,637.9423076923077,296.59615384615387,52
249,646,292,MAX,2,1,646.5,292.0,2
250,659,293,MAX,1,1,659.0,293.0,1
251,658,293,MAX,15,10,665.4305555555555,297.9861111111111,72
252,670,293,MAX,2,1,670.5,293.0,2
253,882,292,MAX,2,4,882.3333333333334,293.1666666666667,6
254,410,294,MAX,1,1,410.0,294.0,1
255,418,295,MAX,1,1,418.0,295.0,1
256,837,295,MAX,2,2,837.3333333333334,295.6666666666667,3
257,889,294,MAX,2,1,889.5,294.0,2
258,894,295,MAX,14,12,900.3068181818181,300.95454545454544,88
259,901,294,MAX,1,1,901.0,294.0,1
260,960,294,MAX,1,1,960.0,294.0,1
261,422,296,MAX,1,1,422.0,296.0,1
262,534,296,MAX,2,1,534.5,296.0,2
263,654,296,MAX,1,1,654.0,296.0,1
264,684,296,MAX,23,26,695.064393939394,310.47727272727275,264
265,834,296,MAX,2,1,834.5,296.0,2
266,868,297,MAX,8,7,871.1111111111111,299.94444444444446,18
267,885,296,MAX,1,1,885.0,296.0,1
268,888,296,MAX,1,1,888.0,296.0,1
269,2944,296,MAX,9,9,2948.0196078431372,299.9019607843137,51
270,64,299,MAX,1,1,64.0,299.0,1
271,59,298,MAX,27,31,73.01415094339623,314.5990566037736,424
272,694,299,MAX,1,1,694.0,299.0,1
273,696,299,MAX,1,1,696.0,299.0,1
274,700,298,MAX,1,1,700.0,298.0,1
275,709,299,MAX,2,3,709.5,300.25,4
276,867,299,MAX,1,1,867.0,299.0,1
277,968,298,MAX,1,2,968.0,298.5,2
278,2911,298,MAX,9,9,2915.016129032258,302.35483870967744,62
279,3491,298,MAX,1,1,3491.0,298.0,1
280,51,300,MAX,1,1,51.0,300.0,1
281,404,300,MAX,1,1,404.0,300.0,1
282,781,301,MAX,1,1,781.0,301.0,1
283,842,301,MAX,1,1,842.0,301.0,1
284,1000,301,MAX,1,1,1000.0,301.0,1
285,688,302,MAX,1,1,688.0,302.0,1
286,699,302,MAX,1,1,699.0,302.0,1
287,707,303,MAX,10,6,711.28,305.4,25
288,766,302,MAX,5,5,768.0,304.0,21
289,969,302,MAX,1,1,969.0,302.0,1
290,973,302,MAX,2,3,973.75,302.75,4
291,976,302,MAX,7,4,979.0,303.25,12
292,984,303,MAX,33,24,998.9646464646464,314.6136363636364,396
293,1003,303,MAX,1,1,1003.0,303.0,1
294,1012,303,MAX,1,1,1012.0,303.0,1
295,76,305,MAX,1,1,76.0,305.0,1
296,539,305,MAX,2,2,539.6666666666666,305.6666666666667,3
297,686,304,MAX,1,1,686.0,304.0,1
298,908,305,MAX,1,1,908.0,305.0,1
299,963,304,MAX,8,9,967.25,307.64285714285717,28
300,993,305,MAX,1,1,993.0,305.0,1
301,1011,305,MAX,3,2,1012.2,305.4,5
302,1015,305,MAX,5,4,1017.125,306.5,8
303,1020,304,MAX,186,36,1111.3707647628266,323.4893514036786,2066
304,2936,304,MAX,2,2,2936.6666666666665,304.3333333333333,3
305,3245,305,MAX,2,1,3245.5,305.0,2
306,59,306,MAX,1,1,59.0,306.0,1
307,109,306,MAX,1,1,109.0,306.0,1
308,906,306,MAX,1,1,906.0,306.0,1
309,961,307,MAX,1,2,961.0,307.5,2
310,983,306,MAX,1,2,983.0,306.5,2
311,2929,307,MAX,5,4,2931.0833333333335,308.1666666666667,12
312,704,308,MAX,1,1,704.0,308.0,1
313,705,308,MAX,5,5,706.7272727272727,310.0,11
314,880,309,MAX,1,1,880.0,309.0,1
315,979,311,MAX,2,1,979.5,311.0,2
316,848,313,MAX,1,1,848.0,313.0,1
317,977,312,MAX,1,1,977.0,312.0,1
318,1018,312,MAX,1,1,1018.0,312.0,1
319,33,315,MAX,2,1,33.5,315.0,2
320,238,315,MAX,1,1,238.0,315.0,1
321,1038,315,MAX,1,1,1038.0,315.0,1
322,1100,315,MAX,1,1,1100.0,315.0,1
323,1038,317,MAX,1,1,1038.0,317.0,1
324,2927,316,MAX,3,3,2927.8333333333335,317.1666666666667,6
325,985,318,MAX,1,1,985.0,318.0,1
326,203,320,MAX,1,1,203.0,320.0,1
327,206,321,MAX,1,1,206.0,321.0,1
328,786,321,MAX,2,2,786.5,321.5,2
329,1185,320,MAX,1,1,1185.0,320.0,1
330,3652,320,MAX,1,1,3652.0,320.0,1
331,689,323,MAX,22,22,699.5993377483444,334.2880794701987,302
332,703,322,MAX,1,1,703.0,322.0,1
333,1153,322,MAX,4,4,1154.2727272727273,323.3636363636364,11
334,2914,322,MAX,2,2,2914.3333333333335,322.3333333333333,3
335,2934,323,MAX,10,9,2938.561403508772,326.6666666666667,57
336,2950,322,MAX,1,1,2950.0,322.0,1
337,68,325,MAX,1,1,68.0,325.0,1
338,702,325,MAX,1,1,702.0,325.0,1
339,683,327,MAX,4,4,684.5,328.5833333333333,12
340,938,326,MAX,1,1,938.0,326.0,1
341,1062,326,MAX,1,1,1062.0,326.0,1
342,1067,327,MAX,1,1,1067.0,327.0,1
343,1168,326,MAX,1,1,1168.0,326.0,1
344,1241,326,MAX,25,18,1251.8590604026845,334.08053691275165,298
345,423,328,MAX,4,5,424.4,330.1,10
346,925,329,MAX,3,4,925.8571428571429,330.42857142857144,7
347,1160,329,MAX,1,1,1160.0,329.0,1
348,998,330,MAX,7,5,1000.5,332.0,16
349,1083,330,MAX,1,1,1083.0,330.0,1
350,1236,330,MAX,4,4,1238.125,331.875,8
351,215,332,MAX,1,1,215.0,332.0,1
352,426,333,MAX,1,1,426.0,333.0,1
353,911,332,MAX,13,15,917.1428571428571,338.875,112
354,972,332,MAX,1,1,972.0,332.0,1
355,1241,332,MAX,1,1,1241.0,332.0,1
356,689,334,MAX,1,1,689.0,334.0,1
357,1113,334,MAX,1,1,1113.0,334.0,1
358,1321,335,MAX,3,3,1321.8,335.8,5
359,1325,334,MAX,1,1,1325.0,334.0,1
360,1345,335,MAX,7,8,1347.4444444444443,338.22222222222223,36
361,927,336,MAX,4,3,928.8,337.0,5
362,973,336,MAX,7,7,976.3,338.8666666666667,30
363,1138,336,MAX,1,1,1138.0,336.0,1
364,1158,337,MAX,1,1,1158.0,337.0,1
365,1211,336,MAX,13,9,1216.5079365079366,340.1746031746032,63
366,1032,338,MAX,1,1,1032.0,338.0,1
367,1304,339,MAX,5,6,1305.7916666666667,341.875,24
368,912,343,MAX,1,1,912.0,343.0,1
369,1208,342,MAX,2,4,1208.2,343.8,5
370,1234,342,MAX,4,2,1235.6666666666667,342.3333333333333,6
371,1309,342,MAX,27,16,1322.1691542288556,349.02487562189054,201
372,478,344,MAX,1,1,478.0,344.0,1
373,1094,344,MAX,1,1,1094.0,344.0,1
374,1102,344,MAX,2,2,1102.5,344.5,2
375,1251,345,MAX,1,1,1251.0,345.0,1
376,1253,344,MAX,2,2,1253.5,344.5,2
377,486,346,MAX,1,1,486.0,346.0,1
378,985,346,MAX,1,1,985.0,346.0,1
379,1250,347,MAX,5,6,1252.125,348.9375,16
380,1256,347,MAX,1,1,1256.0,347.0,1
381,487,348,MAX,1,1,487.0,348.0,1
382,1341,349,MAX,3,3,1341.6666666666667,349.6666666666667,6
383,1055,351,MAX,1,1,1055.0,351.0,1
384,1239,351,MAX,1,1,1239.0,351.0,1
385,1263,350,MAX,2,4,1263.25,351.5,4
386,1269,350,MAX,1,1,1269.0,350.0,1
387,1337,351,MAX,1,1,1337.0,351.0,1
388,1347,350,MAX,1,1,1347.0,350.0,1
389,2672,350,MAX,1,1,2672.0,350.0,1
390,503,352,MAX,1,1,503.0,352.0,1
391,507,353,MAX,7,14,509.8095238095238,358.95238095238096,42
392,1261,352,MAX,1,1,1261.0,352.0,1
393,1282,353,MAX,10,6,1285.9117647058824,355.3235294117647,34
394,1300,353,MAX,8,6,1304.25,355.14285714285717,28
395,1311,353,MAX,1,1,1311.0,353.0,1
396,1343,352,MAX,1,1,1343.0,352.0,1
397,1345,352,MAX,3,1,1346.0,352.0,3
398,1348,353,MAX,2,2,1348.5,353.5,2
399,1370,353,MAX,6,5,1372.5,355.375,16
400,1383,353,MAX,9,9,1386.7555555555555,357.2,45
401,2671,352,MAX,1,3,2671.0,353.0,3
402,2678,353,MAX,3,3,2679.0,353.8,5
403,653,355,MAX,5,4,654.6153846153846,356.7692307692308,13
404,655,354,MAX,1,1,655.0,354.0,1
405,719,355,MAX,1,1,719.0,355.0,1
406,1292,354,MAX,1,1,1292.0,354.0,1
407,1402,355,MAX,1,1,1402.0,355.0,1
408,1437,354,MAX,2,2,1437.6666666666667,354.6666666666667,3
409,1440,355,MAX,1,1,1440.0,355.0,1
410,515,357,MAX,1,1,515.0,357.0,1
411,521,357,MAX,1,1,521.0,357.0,1
412,1275,356,MAX,1,1,1275.0,356.0,1
413,1395,357,MAX,5,5,1397.0714285714287,359.14285714285717,14
414,1307,358,MAX,2,2,1307.5,358.5,2
415,1377,359,MAX,1,1,1377.0,359.0,1
416,1414,359,MAX,7,6,1417.421052631579,361.42105263157896,19
417,521,360,MAX,1,1,521.0,360.0,1
418,1039,360,MAX,1,1,1039.0,360.0,1
419,1367,360,MAX,2,2,1367.3333333333333,360.6666666666667,3
420,1421,361,MAX,1,1,1421.0,361.0,1
421,1423,361,MAX,2,1,1423.5,361.0,2
422,1427,360,MAX,8,4,1431.375,361.3125,16
423,1446,361,MAX,1,1,1446.0,361.0,1
424,1478,361,MAX,3,5,1479.0,363.0,9
425,516,362,MAX,7,5,519.0,363.5263157894737,19
426,1388,362,MAX,1,1,1388.0,362.0,1
427,1424,363,MAX,1,1,1424.0,363.0,1
428,1441,362,MAX,10,9,1445.0227272727273,366.22727272727275,44
429,1448,362,MAX,1,1,1448.0,362.0,1
430,1506,363,MAX,1,1,1506.0,363.0,1
431,514,364,MAX,1,1,514.0,364.0,1
432,1422,364,MAX,1,1,1422.0,364.0,1
433,1426,364,MAX,2,2,1426.5,364.5,2
434,1472,364,MAX,3,5,1473.0,366.2,10
435,1507,364,MAX,3,2,1508.0,364.3333333333333,3
436,1509,365,MAX,4,2,1510.5,365.75,4
437,515,366,MAX,1,1,515.0,366.0,1
438,1470,366,MAX,1,1,1470.0,366.0,1
439,1476,367,MAX,1,1,1476.0,367.0,1
440,1491,366,MAX,1,1,1491.0,366.0,1
441,1496,366,MAX,1,1,1496.0,366.0,1
442,1518,367,MAX,1,1,1518.0,367.0,1
443,1527,367,MAX,1,2,1527.0,367.5,2
