,Cellid,X,Y,W,H,cX,cY,Aera
22250,22250,5660,9105,1,2,5660.0,9105.5,2
22251,22251,5696,9105,1,1,5696.0,9105.0,1
22252,22252,5776,9104,1,1,5776.0,9104.0,1
22253,22253,5780,9105,1,1,5780.0,9105.0,1
22254,22254,5789,9104,1,1,5789.0,9104.0,1
22255,22255,5791,9105,1,1,5791.0,9105.0,1
22256,22256,5989,9105,1,1,5989.0,9105.0,1
22257,22257,6490,9104,1,1,6490.0,9104.0,1
22258,22258,6492,9104,1,1,6492.0,9104.0,1
22259,22259,6555,9105,5,7,6557.64705882353,9108.411764705883,17
22260,22260,8104,9104,1,1,8104.0,9104.0,1
22261,22261,8094,9105,78,150,8128.737998228521,9183.606908768821,5645
22262,22262,8754,9105,1,1,8754.0,9105.0,1
22263,22263,10910,9105,1,1,10910.0,9105.0,1
22264,22264,11832,9104,1,1,11832.0,9104.0,1
22265,22265,5656,9106,1,1,5656.0,9106.0,1
22266,22266,5764,9107,40,34,5783.914285714286,9122.866666666667,945
22267,22267,5799,9107,1,1,5799.0,9107.0,1
22268,22268,5964,9106,1,1,5964.0,9106.0,1
22269,22269,5998,9107,1,1,5998.0,9107.0,1
22270,22270,6447,9107,1,1,6447.0,9107.0,1
22271,22271,7710,9107,1,1,7710.0,9107.0,1
22272,22272,8104,9106,1,1,8104.0,9106.0,1
22273,22273,8753,9107,1,1,8753.0,9107.0,1
22274,22274,9556,9106,1,1,9556.0,9106.0,1
22275,22275,9842,9106,1,1,9842.0,9106.0,1
22276,22276,10904,9106,1,1,10904.0,9106.0,1
22277,22277,10907,9107,1,1,10907.0,9107.0,1
22278,22278,10959,9106,1,1,10959.0,9106.0,1
22279,22279,11615,9107,1,1,11615.0,9107.0,1
22280,22280,5807,9109,1,1,5807.0,9109.0,1
22281,22281,7456,9108,1,1,7456.0,9108.0,1
22282,22282,8232,9108,1,1,8232.0,9108.0,1
22283,22283,9555,9108,1,1,9555.0,9108.0,1
22284,22284,9558,9108,2,3,9558.666666666666,9109.0,3
22285,22285,10905,9109,1,1,10905.0,9109.0,1
22286,22286,10953,9109,1,1,10953.0,9109.0,1
22287,22287,11929,9109,1,1,11929.0,9109.0,1
22288,22288,5698,9110,1,1,5698.0,9110.0,1
22289,22289,5760,9110,4,4,5761.5,9111.5,8
22290,22290,5960,9111,1,1,5960.0,9111.0,1
22291,22291,5995,9111,1,1,5995.0,9111.0,1
22292,22292,6444,9111,1,2,6444.0,9111.5,2
22293,22293,9844,9111,1,1,9844.0,9111.0,1
22294,22294,10908,9111,1,1,10908.0,9111.0,1
22295,22295,11612,9111,1,1,11612.0,9111.0,1
22296,22296,5394,9112,1,1,5394.0,9112.0,1
22297,22297,5399,9112,4,3,5400.5,9112.75,4
22298,22298,5405,9112,1,1,5405.0,9112.0,1
22299,22299,5422,9112,2,1,5422.5,9112.0,2
22300,22300,5412,9112,51,51,5437.476446034586,9137.685152057245,1677
22301,22301,5435,9112,1,1,5435.0,9112.0,1
22302,22302,5723,9113,1,1,5723.0,9113.0,1
22303,22303,5727,9112,1,2,5727.0,9112.5,2
22304,22304,5829,9113,1,1,5829.0,9113.0,1
22305,22305,5840,9113,1,1,5840.0,9113.0,1
22306,22306,5854,9113,1,1,5854.0,9113.0,1
22307,22307,6495,9113,1,1,6495.0,9113.0,1
22308,22308,6497,9113,1,1,6497.0,9113.0,1
22309,22309,6501,9112,1,1,6501.0,9112.0,1
22310,22310,6514,9112,1,1,6514.0,9112.0,1
22311,22311,6559,9112,1,1,6559.0,9112.0,1
22312,22312,7657,9112,1,1,7657.0,9112.0,1
22313,22313,8125,9112,1,1,8125.0,9112.0,1
22314,22314,9606,9113,1,1,9606.0,9113.0,1
22315,22315,11548,9113,1,1,11548.0,9113.0,1
22316,22316,11826,9112,1,1,11826.0,9112.0,1
22317,22317,11930,9112,2,2,11930.5,9112.5,2
22318,22318,5400,9115,1,1,5400.0,9115.0,1
22319,22319,5444,9114,1,1,5444.0,9114.0,1
22320,22320,5763,9114,1,1,5763.0,9114.0,1
22321,22321,5813,9115,59,55,5842.614443084455,9143.078335373317,2451
22322,22322,5838,9114,1,1,5838.0,9114.0,1
22323,22323,5852,9114,1,1,5852.0,9114.0,1
22324,22324,6558,9114,1,2,6558.0,9114.5,2
22325,22325,7659,9114,1,1,7659.0,9114.0,1
22326,22326,8248,9115,1,1,8248.0,9115.0,1
22327,22327,8823,9114,1,1,8823.0,9114.0,1
22328,22328,9554,9114,1,1,9554.0,9114.0,1
22329,22329,10905,9114,1,1,10905.0,9114.0,1
22330,22330,10947,9114,1,1,10947.0,9114.0,1
22331,22331,11550,9115,2,1,11550.5,9115.0,2
22332,22332,11826,9115,1,1,11826.0,9115.0,1
22333,22333,5399,9117,1,1,5399.0,9117.0,1
22334,22334,5760,9117,1,1,5760.0,9117.0,1
22335,22335,5762,9117,1,1,5762.0,9117.0,1
22336,22336,5828,9116,2,2,5828.5,9116.5,2
22337,22337,5984,9116,1,1,5984.0,9116.0,1
22338,22338,5990,9117,1,1,5990.0,9117.0,1
22339,22339,6442,9117,1,1,6442.0,9117.0,1
22340,22340,6518,9117,1,1,6518.0,9117.0,1
22341,22341,8819,9116,1,1,8819.0,9116.0,1
