Cellid,x,y,gene,W,H,cX,cY,Aera
466,652,488,MAX,1,1,652.0,488.0,1
467,2458,489,MAX,1,1,2458.0,489.0,1
468,1264,490,MAX,2,3,1264.5,491.25,4
469,1269,491,MAX,1,1,1269.0,491.0,1
470,190,492,MAX,5,6,192.375,494.625,16
471,325,494,MAX,26,20,336.1813725490196,503.73039215686276,204
472,343,494,MAX,1,1,343.0,494.0,1
473,1729,496,MAX,1,5,1729.0,498.0,5
474,1620,500,MAX,4,4,1621.875,501.0,8
475,2097,500,MAX,1,1,2097.0,500.0,1
476,2563,501,MAX,1,1,2563.0,501.0,1
477,160,503,MAX,7,8,162.91666666666666,506.94444444444446,36
478,2536,502,MAX,1,1,2536.0,502.0,1
479,350,505,MAX,2,2,350.6666666666667,505.3333333333333,3
480,444,507,MAX,1,1,444.0,507.0,1
481,446,509,MAX,4,8,447.59090909090907,512.5,22
482,59,511,MAX,17,19,68.68707482993197,520.6326530612245,147
483,2090,511,MAX,10,7,2094.1935483870966,513.741935483871,31
484,531,513,MAX,1,1,531.0,513.0,1
485,537,514,MAX,3,3,537.8333333333334,515.3333333333334,6
486,1480,515,MAX,1,1,1480.0,515.0,1
487,1757,514,MAX,7,5,1759.7142857142858,516.047619047619,21
488,2636,515,MAX,1,1,2636.0,515.0,1
489,535,517,MAX,1,1,535.0,517.0,1
490,555,517,MAX,1,1,555.0,517.0,1
491,1481,516,MAX,4,6,1482.6923076923076,518.1538461538462,13
492,2095,517,MAX,1,1,2095.0,517.0,1
493,538,518,MAX,1,1,538.0,518.0,1
494,1697,518,MAX,1,1,1697.0,518.0,1
495,894,521,MAX,1,1,894.0,521.0,1
496,903,521,MAX,1,1,903.0,521.0,1
497,1707,521,MAX,1,1,1707.0,521.0,1
498,64,523,MAX,1,1,64.0,523.0,1
499,1705,523,MAX,1,1,1705.0,523.0,1
500,1976,523,MAX,6,9,1978.888888888889,527.6111111111111,18
501,639,525,MAX,2,2,639.6666666666666,525.6666666666666,3
502,888,524,MAX,1,1,888.0,524.0,1
503,887,525,MAX,23,17,897.3920704845815,532.5770925110132,227
504,903,524,MAX,1,1,903.0,524.0,1
505,903,524,MAX,9,4,907.0526315789474,525.7894736842105,19
506,1566,525,MAX,1,1,1566.0,525.0,1
507,1968,524,MAX,3,3,1969.0,525.1666666666666,6
508,1976,525,MAX,1,1,1976.0,525.0,1
509,2627,524,MAX,1,1,2627.0,524.0,1
510,1551,527,MAX,1,1,1551.0,527.0,1
511,2645,526,MAX,1,1,2645.0,526.0,1
512,573,528,MAX,3,8,574.2666666666667,530.9333333333333,15
513,733,528,MAX,1,1,733.0,528.0,1
514,800,529,MAX,1,1,800.0,529.0,1
515,912,529,MAX,2,2,912.5,529.5,2
516,1561,529,MAX,1,1,1561.0,529.0,1
517,1968,528,MAX,2,1,1968.5,528.0,2
518,1552,530,MAX,10,5,1555.923076923077,531.8076923076923,26
519,1703,530,MAX,1,1,1703.0,530.0,1
520,2728,530,MAX,1,1,2728.0,530.0,1
521,2729,531,MAX,2,2,2729.6666666666665,531.6666666666666,3
522,607,532,MAX,7,7,610.3448275862069,535.2413793103449,29
523,1865,532,MAX,2,2,1865.5,532.5,2
524,1859,534,MAX,1,1,1859.0,534.0,1
525,605,536,MAX,1,1,605.0,536.0,1
526,268,538,MAX,9,12,271.60377358490564,544.188679245283,53
527,571,539,MAX,2,2,571.6666666666666,539.6666666666666,3
528,1855,539,MAX,2,2,1855.5,539.5,2
529,2004,538,MAX,2,1,2004.5,538.0,2
530,2731,539,MAX,1,1,2731.0,539.0,1
531,268,541,MAX,1,2,268.0,541.5,2
532,382,540,MAX,1,1,382.0,540.0,1
533,625,540,MAX,2,1,625.5,540.0,2
534,629,541,MAX,1,1,629.0,541.0,1
535,2740,540,MAX,1,1,2740.0,540.0,1
536,250,542,MAX,3,2,251.0,542.5,4
537,1940,542,MAX,1,1,1940.0,542.0,1
538,1949,543,MAX,1,1,1949.0,543.0,1
539,384,544,MAX,3,4,384.7142857142857,545.7142857142857,7
540,1944,544,MAX,2,4,1944.75,545.5,4
541,381,546,MAX,1,1,381.0,546.0,1
542,1652,547,MAX,7,12,1654.948717948718,552.8974358974359,39
543,2739,547,MAX,2,2,2739.6666666666665,547.6666666666666,3
544,2841,546,MAX,5,6,2843.0714285714284,548.5714285714286,14
545,379,548,MAX,1,2,379.0,548.5,2
546,630,549,MAX,1,1,630.0,549.0,1
547,1941,548,MAX,1,1,1941.0,548.0,1
548,2037,549,MAX,1,1,2037.0,549.0,1
549,3693,549,MAX,1,1,3693.0,549.0,1
550,117,551,MAX,2,1,117.5,551.0,2
551,2018,550,MAX,1,1,2018.0,550.0,1
552,613,553,MAX,3,2,614.0,553.3333333333334,3
553,836,553,MAX,1,1,836.0,553.0,1
554,1671,553,MAX,2,2,1671.5,553.5,2
555,2550,553,MAX,1,1,2550.0,553.0,1
556,113,554,MAX,9,8,116.79591836734694,557.7142857142857,49
557,1205,555,MAX,4,6,1206.75,557.25,12
558,2188,555,MAX,16,13,2195.436090225564,561.2706766917294,133
559,2543,555,MAX,1,1,2543.0,555.0,1
560,724,557,MAX,3,3,725.0,558.0,5
561,837,557,MAX,1,1,837.0,557.0,1
562,2534,556,MAX,22,19,2545.8835978835978,563.6137566137567,189
563,2554,556,MAX,1,2,2554.0,556.5,2
564,217,559,MAX,2,2,217.5,559.5,4
565,722,559,MAX,1,1,722.0,559.0,1
566,727,559,MAX,1,1,727.0,559.0,1
567,725,561,MAX,6,6,727.2857142857143,563.7857142857143,14
568,2513,561,MAX,4,5,2514.714285714286,562.7857142857143,14
569,2560,560,MAX,1,1,2560.0,560.0,1
